,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値
38,10,0528,Ｃ大23,0-0,H,吹田Ｓ,晴,ガンバ大阪U-23,2017,g-23,,20,6,0,693,12,7,1,6,27,16,22,13,4,0,1,0,63,18,123,16.3%,60.6%,(0.0%),(82.7%),(50.0%),(96.3%),(62.5%),(68.2%),5,1,0,367,8,13,0,4,17,6,17,22,1,1,0,0,25,6,126,4.0%,39.4%,(0.0%),(69.2%),(12.5%),(70.6%),(33.3%),(76.5%),,
39,11,0603,Ｆ東23,0-1,A,味フィ西,晴一時曇,ガンバ大阪U-23,2017,g-23,,14,2,0,453,12,21,4,4,28,18,26,19,5,1,0,0,37,15,146,9.6%,46.3%,(7.1%),(75.1%),(33.3%),(78.6%),(38.9%),(84.6%),5,2,0,527,12,11,1,0,32,10,24,19,4,3,2,0,38,6,137,3.6%,53.7%,(0.0%),(74.0%),(0.0%),(96.9%),(50.0%),(75.0%),,
40,12,0610,北九州,1-2,A,ミクスタ,曇,ガンバ大阪U-23,2017,g-23,,21,11,0,365,12,11,2,11,32,16,20,33,1,1,1,0,39,20,145,14.5%,44.2%,(9.5%),(64.9%),(25.0%),(84.4%),(37.5%),(70.0%),12,2,0,484,13,8,1,2,28,13,22,32,1,2,2,0,45,8,135,8.9%,55.8%,(8.3%),(69.0%),(23.1%),(85.7%),(30.8%),(86.4%),,
41,13,0618,盛岡,1-0,H,万博,晴,ガンバ大阪U-23,2017,g-23,,10,4,0,341,7,11,1,3,27,15,29,35,4,4,3,0,35,7,139,7.2%,40.7%,(10.0%),(63.6%),(0.0%),(85.2%),(46.7%),(65.5%),9,3,0,651,20,17,4,0,41,14,18,17,2,1,0,0,55,13,154,5.8%,59.3%,(0.0%),(78.8%),(25.0%),(85.4%),(42.9%),(83.3%),,
42,14,0625,富山,0-2,A,富山,雨,ガンバ大阪U-23,2017,g-23,,9,3,1,436,18,19,0,7,25,9,12,21,2,4,0,0,35,5,145,6.2%,50.3%,(22.2%),(70.9%),(11.1%),(92.0%),(55.6%),(75.0%),11,0,0,414,16,12,4,8,30,14,15,22,1,0,4,1,28,12,134,8.2%,49.7%,(0.0%),(70.8%),(0.0%),(80.0%),(42.9%),(86.7%),,
43,15,0702,栃木,3-2,H,吹田Ｓ,晴のち曇時々雨,ガンバ大阪U-23,2017,g-23,,9,4,0,406,8,20,4,1,15,7,20,22,2,3,2,0,28,8,111,8.1%,53.6%,(33.3%),(71.7%),(37.5%),(86.7%),(85.7%),(70.0%),15,6,0,345,13,16,3,8,26,8,19,12,2,4,3,0,32,19,126,11.9%,46.4%,(13.3%),(63.5%),(30.8%),(57.7%),(12.5%),(63.2%),,
44,16,0709,藤枝,1-2,A,藤枝サ,曇,ガンバ大阪U-23,2017,g-23,,15,3,0,454,16,16,1,4,32,14,14,15,4,1,3,0,37,10,138,10.9%,52.9%,(13.3%),(75.3%),(31.3%),(68.8%),(64.3%),(71.4%),9,2,0,411,13,8,2,2,22,8,20,31,4,1,1,0,33,11,123,7.3%,47.1%,(11.1%),(71.8%),(30.8%),(95.5%),(25.0%),(80.0%),,
45,17,0715,秋田,2-1,H,万博,晴,ガンバ大阪U-23,2017,g-23,,9,4,0,385,9,9,3,1,17,9,22,29,4,1,1,0,25,8,117,7.7%,45.8%,(22.2%),(71.4%),(22.2%),(70.6%),(88.9%),(81.8%),22,11,2,474,16,10,1,4,36,12,16,9,2,2,1,0,47,18,129,17.1%,54.2%,(4.5%),(73.8%),(18.8%),(75.0%),(50.0%),(75.0%),,
46,18,0722,富山,0-2,H,吹田Ｓ,晴,ガンバ大阪U-23,2017,g-23,,14,1,0,503,11,10,0,4,20,16,18,27,2,5,0,0,44,13,113,12.4%,53.3%,(0.0%),(76.1%),(0.0%),(95.0%),(56.3%),(72.2%),14,10,0,414,8,11,5,3,28,15,11,37,4,0,0,0,44,13,126,11.1%,46.7%,(14.3%),(74.9%),(12.5%),(89.3%),(46.7%),(63.6%),,
47,19,0820,盛岡,2-0,A,北上,曇,ガンバ大阪U-23,2017,g-23,,16,4,0,547,16,11,5,6,36,15,19,22,2,4,2,0,48,28,150,10.7%,48.8%,(0.0%),(75.9%),(25.0%),(94.4%),(53.3%),(84.2%),11,3,0,471,8,11,4,2,22,14,25,30,0,5,2,0,39,11,143,7.7%,51.2%,(18.2%),(74.3%),(25.0%),(100.0%),(50.0%),(68.0%),,
48,20,0827,秋田,0-2,A,Ａ‐スタ,晴,ガンバ大阪U-23,2017,g-23,,15,3,0,316,15,10,0,6,17,9,27,24,6,3,0,0,34,16,120,12.5%,38.5%,(13.3%),(66.1%),(26.7%),(58.8%),(44.4%),(85.2%),16,4,0,673,9,12,4,6,35,19,14,20,3,0,0,0,56,12,141,11.3%,61.5%,(0.0%),(82.3%),(55.6%),(82.9%),(42.1%),(85.7%),,
49,21,0904,琉球,1-7,H,吹田Ｓ,曇,ガンバ大阪U-23,2017,g-23,,15,6,0,681,8,13,0,4,26,19,24,12,4,5,2,0,40,9,138,10.9%,60.7%,(6.7%),(81.6%),(37.5%),(96.2%),(26.3%),(66.7%),23,13,0,419,8,11,5,2,18,13,28,21,2,0,2,0,38,13,135,17.0%,39.3%,(30.4%),(74.0%),(37.5%),(72.2%),(46.2%),(96.4%),,
50,22,0910,沼津,2-3,H,吹田Ｓ,晴,ガンバ大阪U-23,2017,g-23,,6,3,0,444,7,9,6,2,37,6,20,11,2,0,0,0,22,10,127,4.7%,49.4%,(33.3%),(73.4%),(28.6%),(78.4%),(16.7%),(75.0%),8,4,1,425,13,14,0,5,31,11,19,9,2,6,1,0,41,11,132,6.1%,50.6%,(37.5%),(70.8%),(0.0%),(96.8%),(54.5%),(89.5%),,
51,23,0916,栃木,0-2,A,栃木グ,曇,ガンバ大阪U-23,2017,g-23,,14,4,0,394,13,12,0,3,39,9,22,17,3,3,0,0,33,13,137,10.2%,47.2%,(14.3%),(69.3%),(30.8%),(61.5%),(55.6%),(90.9%),5,1,0,454,7,17,5,5,26,12,14,20,1,0,1,0,37,5,133,3.8%,52.8%,(0.0%),(71.1%),(14.3%),(92.3%),(41.7%),(100.0%),,
52,24,0924,長野,0-3,A,長野Ｕ,晴,ガンバ大阪U-23,2017,g-23,,23,9,0,601,29,8,0,10,31,8,26,4,0,3,0,0,65,35,139,16.5%,55.5%,(13.0%),(78.2%),(44.8%),(96.8%),(62.5%),(73.1%),8,3,0,408,5,8,4,2,19,8,17,35,1,0,1,0,25,6,124,6.5%,44.5%,(0.0%),(72.3%),(0.0%),(84.2%),(12.5%),(76.5%),,
53,25,1001,藤枝,1-6,H,万博,曇,ガンバ大阪U-23,2017,g-23,,12,7,0,415,14,6,4,4,24,10,20,31,1,3,3,0,20,8,143,8.4%,47.7%,(8.3%),(63.9%),(28.6%),(87.5%),(40.0%),(75.0%),24,10,0,484,22,9,3,6,19,16,19,25,3,4,0,0,47,20,139,17.3%,52.3%,(25.0%),(71.7%),(22.7%),(84.2%),(56.3%),(68.4%),,
