,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値
494,9,0808,YS横浜,0-0,H,ヤンマー,曇,セレッソ大阪U-23,2020,c-23,丸山　良明,16,7,0,361,17,12,1,6,31,17,23,23,1,0,1,0,39,12,142,11.3%,44.4%,(0.0%),(73.7%),(29.4%),(74.2%),(35.3%),(60.9%),17,3,0,493,13,6,0,7,24,17,33,23,1,1,0,0,37,12,142,12.0%,55.6%,(0.0%),(75.9%),(30.8%),(79.2%),(47.1%),(72.7%),2.209,1.153
495,10,0815,藤枝,2-3,A,藤枝サ,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,12,4,0,412,17,11,0,5,18,4,17,24,1,2,1,0,30,11,102,11.8%,39.1%,(25.0%),(77.2%),(52.9%),(88.9%),(75.0%),(52.9%),9,2,1,622,15,13,2,4,16,11,11,24,2,0,1,0,44,8,104,8.7%,60.9%,(22.2%),(84.7%),(26.7%),(68.8%),(36.4%),(45.5%),1.657,0.882
496,11,0822,相模原,1-2,H,ヤンマー,雨のち曇,セレッソ大阪U-23,2020,c-23,丸山　良明,9,2,0,387,18,9,2,5,14,10,30,29,3,3,0,0,41,7,124,7.3%,46.8%,(11.1%),(71.3%),(5.6%),(78.6%),(30.0%),(70.0%),24,9,0,515,17,11,3,14,29,20,23,14,3,1,3,0,46,20,144,16.7%,53.2%,(8.3%),(79.0%),(11.8%),(96.6%),(55.0%),(78.3%),1.755,0.997
497,12,0829,福島,1-2,H,ヤンマー,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,17,6,0,488,14,10,0,6,21,13,10,16,4,2,2,0,33,17,123,13.8%,55.1%,(5.9%),(80.1%),(35.7%),(81.0%),(53.8%),(90.0%),18,7,0,392,16,12,1,6,18,6,17,19,1,0,2,0,45,15,118,15.3%,44.9%,(11.1%),(74.5%),(18.8%),(94.4%),(16.7%),(82.4%),1.207,1.234
498,13,0902,八戸,0-2,A,プラスタ,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,15,6,0,421,5,4,4,5,28,5,24,22,1,4,0,0,24,9,119,12.6%,41.2%,(13.3%),(73.9%),(20.0%),(82.1%),(0.0%),(58.3%),3,0,0,562,8,9,4,8,30,9,15,17,2,4,0,0,20,6,135,2.2%,58.8%,(0.0%),(79.4%),(12.5%),(73.3%),(22.2%),(66.7%),0.355,1.92
499,14,0906,秋田,0-0,A,ソユスタ,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,17,4,0,326,22,10,0,9,36,8,20,18,2,1,0,0,24,10,136,12.5%,46.1%,(0.0%),(56.1%),(27.3%),(63.9%),(50.0%),(60.0%),3,0,0,325,4,6,1,2,35,3,13,41,1,0,0,0,17,2,138,2.2%,53.9%,(0.0%),(61.5%),(0.0%),(77.1%),(0.0%),(69.2%),0.117,1.908
500,15,0913,長野,0-2,A,長野Ｕ,曇,セレッソ大阪U-23,2020,c-23,丸山　良明,24,5,0,437,16,10,1,8,30,13,24,10,4,5,1,0,32,15,130,18.5%,52.2%,(8.3%),(74.6%),(43.8%),(80.0%),(30.8%),(62.5%),3,0,0,384,3,9,5,0,29,5,22,37,0,1,1,0,18,2,122,2.5%,47.8%,(0.0%),(74.5%),(0.0%),(82.8%),(80.0%),(54.5%),0.255,3.192
501,16,0918,富山,2-1,H,ヤンマー,曇時々雨,セレッソ大阪U-23,2020,c-23,丸山　良明,11,5,1,475,2,9,3,4,22,7,28,46,3,2,0,0,26,8,123,8.9%,50.4%,(18.2%),(82.5%),(0.0%),(77.3%),(28.6%),(71.4%),20,5,0,563,19,6,2,5,24,14,24,12,4,3,2,0,53,13,120,16.7%,49.6%,(5.0%),(82.6%),(15.8%),(100.0%),(42.9%),(70.8%),3.301,1.435
502,17,0922,沼津,0-5,A,愛鷹,曇,セレッソ大阪U-23,2020,c-23,丸山　良明,27,10,0,571,17,15,1,2,18,11,18,11,3,2,1,0,46,21,124,21.8%,50.3%,(14.8%),(82.0%),(23.5%),(72.2%),(54.5%),(61.1%),4,0,0,474,6,11,2,5,17,11,21,18,1,1,1,0,23,2,119,3.4%,49.7%,(0.0%),(77.2%),(16.7%),(70.6%),(18.2%),(66.7%),0.341,4.355
503,18,0927,YS横浜,6-1,A,ニッパツ,曇のち晴,セレッソ大阪U-23,2020,c-23,丸山　良明,18,3,1,488,9,15,2,8,38,17,22,13,2,3,0,0,25,4,151,11.9%,62%,(5.6%),(72.5%),(11.1%),(94.7%),(47.1%),(72.7%),13,7,0,265,15,8,3,4,31,13,18,30,2,2,2,0,19,13,140,9.3%,38%,(46.2%),(60.0%),(46.7%),(71.0%),(46.2%),(77.8%),2.294,2.311
504,19,1002,今治,0-0,H,ヤンマー,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,4,1,0,385,21,11,9,2,29,6,22,30,3,0,1,0,23,7,134,3.0%,44.6%,(0.0%),(66.2%),(28.6%),(93.1%),(33.3%),(63.6%),15,1,0,525,19,9,0,5,36,13,19,10,4,9,0,0,34,12,144,10.4%,55.4%,(0.0%),(72.2%),(31.6%),(83.3%),(61.5%),(47.4%),1.831,0.314
505,20,1007,福島,0-3,A,とうスタ,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,23,11,0,516,14,13,4,7,26,7,20,18,0,3,2,0,36,12,131,17.6%,55.9%,(13.0%),(73.3%),(21.4%),(88.5%),(57.1%),(65.0%),10,3,0,394,15,10,3,3,20,11,15,26,1,4,0,0,27,9,125,8.0%,44.1%,(0.0%),(66.8%),(6.7%),(70.0%),(54.5%),(86.7%),0.77,2.801
506,21,1011,秋田,2-3,H,ヤンマー,曇時々晴,セレッソ大阪U-23,2020,c-23,丸山　良明,14,5,0,369,14,11,3,5,46,10,19,28,1,0,0,0,39,10,146,9.6%,49.1%,(14.3%),(64.2%),(21.4%),(73.9%),(30.0%),(73.7%),13,5,1,356,11,3,0,4,25,8,23,49,0,3,1,0,24,10,138,9.4%,50.9%,(23.1%),(63.8%),(27.3%),(76.0%),(25.0%),(65.2%),3.591,0.883
507,22,1018,鹿児島,0-0,A,白波スタ,曇,セレッソ大阪U-23,2020,c-23,丸山　良明,10,2,0,472,15,14,4,9,18,10,18,19,0,9,0,0,32,15,131,7.6%,57.8%,(0.0%),(75.0%),(33.3%),(94.4%),(60.0%),(77.8%),17,6,0,311,16,12,9,7,20,9,21,22,2,4,3,0,27,14,119,14.3%,42.2%,(0.0%),(67.5%),(12.5%),(90.0%),(66.7%),(81.0%),1.087,1.837
508,23,1025,Ｇ大23,1-1,H,ヤンマー,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,14,5,0,272,10,7,5,2,15,12,24,34,2,1,1,0,32,13,125,11.2%,33.1%,(7.1%),(65.8%),(20.0%),(80.0%),(25.0%),(62.5%),11,2,0,758,22,13,1,8,32,17,18,16,2,5,0,0,46,8,143,7.7%,66.9%,(9.1%),(82.1%),(27.3%),(87.5%),(64.7%),(88.9%),1.049,1.207
509,24,1031,鳥取,1-0,A,Ａｘｉｓ,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,19,3,0,560,23,14,1,6,29,15,22,11,0,3,0,0,54,20,129,14.7%,57.7%,(0.0%),(74.8%),(30.4%),(93.1%),(46.7%),(81.8%),12,4,0,369,8,3,3,3,23,9,16,25,1,1,2,0,31,10,118,10.2%,42.3%,(8.3%),(64.8%),(12.5%),(91.3%),(44.4%),(56.3%),0.724,1.733
510,25,1104,長野,1-3,H,ヤンマー,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,9,2,0,393,5,15,2,2,31,12,22,36,2,0,0,0,27,5,149,6.0%,47.6%,(11.1%),(63.1%),(0.0%),(80.6%),(41.7%),(72.7%),18,7,0,479,20,10,0,6,33,16,18,34,2,2,0,0,38,16,147,12.2%,52.4%,(16.7%),(70.6%),(50.0%),(66.7%),(43.8%),(72.2%),2.08,0.492
511,26,1108,沼津,0-2,H,ヤンマー,晴のち曇,セレッソ大阪U-23,2020,c-23,丸山　良明,11,4,0,519,14,11,1,2,19,4,24,12,2,4,0,0,28,15,137,8.0%,50%,(0.0%),(76.9%),(28.6%),(94.7%),(75.0%),(66.7%),11,3,0,459,7,13,4,3,21,10,24,11,1,1,1,0,27,12,139,7.9%,50%,(18.2%),(75.8%),(42.9%),(95.2%),(70.0%),(75.0%),1.683,1.197
512,27,1113,相模原,0-0,A,ギオンス,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,15,1,0,434,13,13,1,5,31,9,25,27,0,2,2,0,25,7,145,10.3%,49.4%,(0.0%),(68.9%),(7.7%),(61.3%),(44.4%),(64.0%),13,4,0,413,12,10,1,5,19,4,24,42,2,1,1,0,35,9,133,9.8%,50.6%,(0.0%),(74.3%),(8.3%),(84.2%),(25.0%),(37.5%),1.664,3.065
513,28,1118,岐阜,0-3,A,長良川,曇,セレッソ大阪U-23,2020,c-23,丸山　良明,25,6,0,376,21,17,1,8,36,16,13,11,1,4,0,0,39,17,145,17.2%,46.7%,(8.0%),(67.0%),(33.3%),(88.9%),(62.5%),(46.2%),3,0,0,409,13,13,4,0,28,7,24,27,1,1,1,0,22,3,137,2.2%,53.3%,(0.0%),(68.5%),(30.8%),(92.9%),(71.4%),(62.5%),0.165,2.538
514,29,1122,熊本,1-1,H,ヤンマー,晴のち曇,セレッソ大阪U-23,2020,c-23,丸山　良明,8,2,0,294,9,12,6,6,22,8,19,25,4,0,0,0,13,6,129,6.2%,34.6%,(12.5%),(59.9%),(33.3%),(86.4%),(50.0%),(47.4%),14,5,0,716,27,9,0,8,29,12,14,10,1,6,2,0,74,20,138,10.1%,65.4%,(7.1%),(78.8%),(18.5%),(100.0%),(58.3%),(71.4%),1.72,0.808
515,30,1129,富山,1-2,A,富山,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,17,4,0,454,10,12,1,7,27,14,27,27,1,5,2,0,31,12,135,12.6%,44.6%,(11.8%),(73.8%),(0.0%),(74.1%),(35.7%),(66.7%),13,4,0,574,13,12,5,3,22,20,22,18,2,1,0,0,42,16,137,9.5%,55.4%,(7.7%),(78.6%),(15.4%),(77.3%),(30.0%),(63.6%),0.983,1.674
516,31,1205,藤枝,1-0,H,ヤンマー,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,6,2,0,500,12,6,4,3,18,11,17,21,2,0,1,0,33,7,139,4.3%,48%,(16.7%),(71.0%),(16.7%),(72.2%),(18.2%),(88.2%),11,3,0,559,9,14,0,3,29,7,22,20,2,4,1,0,49,3,142,7.7%,52%,(0.0%),(73.5%),(11.1%),(93.1%),(71.4%),(68.2%),0.588,0.248
517,32,1209,讃岐,0-0,A,ピカスタ,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,13,3,0,431,15,8,2,7,41,9,26,14,0,2,3,0,26,11,153,8.5%,49%,(0.0%),(67.1%),(33.3%),(92.7%),(11.1%),(46.2%),11,2,0,464,11,9,2,4,25,7,17,19,1,2,3,0,30,6,147,7.5%,51%,(0.0%),(71.1%),(0.0%),(76.0%),(42.9%),(70.6%),0.641,1.501
518,33,1213,岩手,0-5,H,ヤンマー,曇,セレッソ大阪U-23,2020,c-23,丸山　良明,6,0,0,551,5,11,4,1,22,9,20,15,0,1,2,0,36,5,119,5.0%,56.3%,(0.0%),(78.9%),(0.0%),(86.4%),(11.1%),(85.0%),19,8,1,431,13,9,1,8,11,19,15,19,1,4,0,0,41,20,120,15.8%,43.7%,(15.8%),(75.4%),(23.1%),(81.8%),(47.4%),(53.3%),3.101,0.261
519,34,1220,八戸,1-4,H,ヤンマー,晴,セレッソ大阪U-23,2020,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
520,1,0627,鳥取,0-1,H,ヤンマー,曇時々晴,セレッソ大阪U-23,2021,c-23,村田　一弘,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
521,2,0705,Ｇ大23,0-0,A,パナスタ,晴のち曇,セレッソ大阪U-23,2021,c-23,村田　一弘,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
522,3,0711,熊本,3-5,A,えがおＳ,雨,セレッソ大阪U-23,2021,c-23,村田　一弘,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
523,4,0715,岐阜,2-0,H,ヤンマー,曇一時雨,セレッソ大阪U-23,2021,c-23,村田　一弘,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
524,5,0719,今治,0-1,A,夢スタ,晴時々曇,セレッソ大阪U-23,2021,c-23,村田　一弘,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
525,6,0725,鹿児島,0-5,H,ヤンマー,曇,セレッソ大阪U-23,2021,c-23,村田　一弘,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
526,7,0729,讃岐,1-1,H,ヤンマー,曇時々雨,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
527,8,0802,岩手,1-3,A,北上,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
528,9,0808,YS横浜,0-0,H,ヤンマー,曇,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
529,10,0815,藤枝,2-3,A,藤枝サ,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
530,11,0822,相模原,1-2,H,ヤンマー,雨のち曇,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
531,12,0829,福島,1-2,H,ヤンマー,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
532,13,0902,八戸,0-2,A,プラスタ,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
533,14,0906,秋田,0-0,A,ソユスタ,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
534,15,0913,長野,0-2,A,長野Ｕ,曇,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
535,16,0918,富山,2-1,H,ヤンマー,曇時々雨,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
536,17,0922,沼津,0-5,A,愛鷹,曇,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
537,18,0927,YS横浜,6-1,A,ニッパツ,曇のち晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
538,19,1002,今治,0-0,H,ヤンマー,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
539,20,1007,福島,0-3,A,とうスタ,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
540,21,1011,秋田,2-3,H,ヤンマー,曇時々晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
541,22,1018,鹿児島,0-0,A,白波スタ,曇,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
542,23,1025,Ｇ大23,1-1,H,ヤンマー,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
543,24,1031,鳥取,1-0,A,Ａｘｉｓ,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
544,25,1104,長野,1-3,H,ヤンマー,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
545,26,1108,沼津,0-2,H,ヤンマー,晴のち曇,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
546,27,1113,相模原,0-0,A,ギオンス,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
547,28,1118,岐阜,0-3,A,長良川,曇,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
548,29,1122,熊本,1-1,H,ヤンマー,晴のち曇,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
549,30,1129,富山,1-2,A,富山,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
550,31,1205,藤枝,1-0,H,ヤンマー,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
551,32,1209,讃岐,0-0,A,ピカスタ,晴,セレッソ大阪U-23,2021,c-23,丸山　良明,12,3,0,650,17,9,5,2,31,11,18,11,2,4,0,0,54,13,153,7.8%,56.7%,(8.3%),(77.4%),(23.5%),(96.8%),(54.5%),(88.9%),16,6,0,455,11,9,4,3,16,7,30,19,6,5,0,0,44,10,146,11.0%,43.3%,(25.0%),(73.6%),(27.3%),(68.8%),(42.9%),(66.7%),1.622,1.063
