,節,開催日,相手,スコア,HomeAway,会場,天候,指揮官,自チーム,年度,team_id,H_ゴール期待値,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_ゴール期待値,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率
932,1,0310,熊本,2-2,A,えがおＳ,雨,横山　雄次,ＡＣ長野パルセイロ,2019,naga,2.554,20,3,1,518,17,15,2,6,30,12,22,28,3,1,1,0,36,13,137,14.6%,60.2%,(10.0%),(73.6%),(23.5%),(83.3%),(50.0%),(63.6%),0.942,12,3,0,295,15,5,1,5,30,12,20,45,0,2,1,1,25,12,117,10.3%,39.8%,(16.7%),(57.3%),(13.3%),(63.3%),(50.0%),(50.0%)
933,2,0317,八戸,0-2,H,長野Ｕ,曇のち晴,横山　雄次,ＡＣ長野パルセイロ,2019,naga,0.932,12,1,0,443,23,11,2,6,42,9,22,17,3,4,1,0,30,10,157,7.6%,49.8%,(0.0%),(59.6%),(8.7%),(61.9%),(11.1%),(50.0%),1.78,7,2,1,384,14,11,4,4,24,10,26,40,2,1,1,0,24,4,145,4.8%,50.2%,(28.6%),(61.2%),(14.3%),(41.7%),(40.0%),(53.8%)
934,3,0323,Ｃ大23,1-1,H,長野Ｕ,曇,横山　雄次,ＡＣ長野パルセイロ,2019,naga,1.216,21,4,0,456,19,6,3,6,33,11,32,15,1,2,0,0,39,19,147,14.3%,50.9%,(4.8%),(69.5%),(10.5%),(66.7%),(45.5%),(71.9%),0.697,7,2,0,371,15,12,2,2,25,10,25,36,2,3,0,0,24,11,147,4.8%,49.1%,(14.3%),(66.3%),(26.7%),(60.0%),(80.0%),(64.0%)
935,4,0331,秋田,0-0,A,秋田陸,雨,横山　雄次,ＡＣ長野パルセイロ,2019,naga,0.964,11,4,0,337,18,13,1,5,33,17,17,30,3,2,1,0,27,16,145,7.6%,49%,(0.0%),(60.2%),(22.2%),(63.6%),(52.9%),(58.8%),1.037,13,1,0,374,14,8,2,7,26,13,20,29,1,1,3,0,28,10,137,9.5%,51%,(0.0%),(64.2%),(14.3%),(73.1%),(30.8%),(70.0%)
936,5,0406,岩手,1-2,H,長野Ｕ,晴,横山　雄次,ＡＣ長野パルセイロ,2019,naga,1.842,19,2,0,446,21,7,0,13,39,20,23,17,2,4,2,0,36,15,164,11.6%,57.2%,(5.3%),(66.6%),(14.3%),(59.0%),(45.0%),(82.6%),0.903,6,3,0,271,5,17,4,2,19,6,32,53,3,0,0,0,15,5,147,4.1%,42.8%,(33.3%),(49.4%),(40.0%),(78.9%),(33.3%),(62.5%)
937,6,0414,讃岐,1-0,A,ピカスタ,雨,横山　雄次,ＡＣ長野パルセイロ,2019,naga,2.762,27,8,0,540,9,10,1,8,39,8,23,22,0,3,0,0,40,15,135,20.0%,56%,(0.0%),(73.1%),(22.2%),(89.7%),(75.0%),(60.9%),0.685,8,1,0,400,17,4,3,2,30,7,20,37,3,1,2,0,33,8,128,6.3%,44%,(12.5%),(64.0%),(11.8%),(76.7%),(28.6%),(65.0%)
938,7,0427,藤枝,0-2,A,藤枝サ,晴,横山　雄次,ＡＣ長野パルセイロ,2019,naga,1.078,14,6,0,428,19,13,0,4,37,14,22,19,2,3,2,0,40,13,157,8.9%,50.6%,(14.3%),(61.9%),(26.3%),(75.7%),(28.6%),(63.6%),0.252,7,2,0,412,10,10,3,5,36,8,22,32,2,0,3,0,20,2,148,4.7%,49.4%,(0.0%),(64.3%),(0.0%),(55.6%),(37.5%),(68.2%)
939,8,0504,相模原,2-0,H,長野Ｕ,晴,横山　雄次,ＡＣ長野パルセイロ,2019,naga,1.534,13,5,0,429,10,9,2,3,25,7,17,36,1,2,1,0,30,11,129,10.1%,49.4%,(15.4%),(73.0%),(30.0%),(80.0%),(28.6%),(70.6%),0.758,12,2,0,442,9,11,2,7,22,7,18,30,2,1,0,0,25,8,135,8.9%,50.6%,(0.0%),(71.5%),(33.3%),(81.8%),(42.9%),(72.2%)
940,9,0519,福島,2-1,A,とうスタ,晴,横山　雄次,ＡＣ長野パルセイロ,2019,naga,0.985,11,2,0,695,9,13,4,4,19,12,22,18,1,4,1,0,31,11,118,9.3%,64%,(9.1%),(81.4%),(33.3%),(100.0%),(33.3%),(59.1%),0.885,7,4,0,323,9,14,4,5,23,5,21,21,6,4,1,0,23,3,118,5.9%,36%,(28.6%),(65.6%),(11.1%),(52.2%),(40.0%),(66.7%)
941,10,0602,富山,1-2,H,長野Ｕ,曇,横山　雄次,ＡＣ長野パルセイロ,2019,naga,0.886,6,2,0,358,9,12,4,4,26,9,19,24,4,1,2,0,24,4,129,4.7%,46.8%,(16.7%),(69.3%),(22.2%),(69.2%),(11.1%),(63.2%),1.246,10,2,0,447,12,24,1,3,32,9,26,23,4,4,0,0,29,13,142,7.0%,53.2%,(20.0%),(74.3%),(41.7%),(75.0%),(55.6%),(61.5%)
