,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離
299,23,0707,長崎,1-2,A,長崎県立,晴れ,モンテディオ山形,2013,yama,,18,6,0,310,7,6,1,4,22,12,27,39,5,2,3,0,30,9,118,15.3%,45.2%,(11.1%),(61.9%),(14.3%),(59.1%),(50.0%),(63.0%),10,5,0,404,16,18,2,5,44,17,22,19,1,1,0,0,32,4,149,6.7%,54.8%,(10.0%),(65.8%),(0.0%),(81.8%),(52.9%),(54.5%),,,,,,
300,24,0714,千葉,0-3,H,ＮＤスタ,曇りのち雨,モンテディオ山形,2013,yama,,15,4,0,522,18,15,1,2,32,12,14,8,3,4,2,0,33,11,123,12.2%,56.1%,(0.0%),(79.1%),(33.3%),(96.9%),(41.7%),(78.6%),7,3,0,404,8,13,4,1,18,5,20,27,5,1,2,0,24,6,125,5.6%,43.9%,(42.9%),(74.0%),(25.0%),(72.2%),(20.0%),(80.0%),,,,,,
301,25,0720,岡山,1-2,H,ＮＤスタ,晴れ,モンテディオ山形,2013,yama,,19,3,0,497,17,11,5,3,27,17,26,16,0,3,4,0,40,14,140,13.6%,56.2%,(5.3%),(71.4%),(5.9%),(92.6%),(52.9%),(80.8%),6,2,0,361,11,15,4,1,25,16,20,36,4,5,1,0,32,7,145,4.1%,43.8%,(33.3%),(64.0%),(18.2%),(88.0%),(43.8%),(70.0%),,,,,,
302,26,0727,熊本,1-1,A,うまスタ,曇り,モンテディオ山形,2013,yama,,7,2,0,352,10,16,3,0,30,10,15,32,0,1,1,0,26,7,133,5.3%,44.9%,(14.3%),(68.2%),(10.0%),(83.3%),(40.0%),(80.0%),17,4,0,468,30,17,2,8,26,12,17,15,2,3,0,0,50,14,138,12.3%,55.1%,(5.9%),(74.6%),(16.7%),(88.5%),(41.7%),(82.4%),,,,,,
303,27,0804,京都,1-1,A,西京極,曇りのち雨,モンテディオ山形,2013,yama,,4,1,0,415,8,16,3,1,32,8,19,21,2,2,1,0,27,5,144,2.8%,52.3%,(25.0%),(71.3%),(12.5%),(71.9%),(12.5%),(57.9%),12,4,0,366,14,18,2,9,32,4,23,26,4,3,3,0,37,12,149,8.1%,47.7%,(8.3%),(62.3%),(28.6%),(75.0%),(50.0%),(87.0%),,,,,,
304,28,0811,群馬,1-1,H,ＮＤスタ,晴れ,モンテディオ山形,2013,yama,,14,3,0,411,12,11,3,4,28,5,17,22,4,3,1,0,30,18,120,11.7%,50.7%,(7.1%),(72.5%),(8.3%),(92.9%),(100.0%),(76.5%),10,2,0,372,9,9,6,2,33,15,17,21,3,1,2,0,30,5,122,8.2%,49.3%,(10.0%),(73.4%),(44.4%),(78.8%),(33.3%),(82.4%),,,,,,
305,29,0818,神戸,3-2,H,ＮＤスタ,晴れ,モンテディオ山形,2013,yama,,16,5,0,376,17,10,2,5,25,12,21,22,2,0,2,0,36,12,126,12.7%,52.1%,(18.8%),(66.2%),(23.5%),(64.0%),(58.3%),(71.4%),24,7,0,398,14,19,0,5,25,20,13,31,3,2,1,0,39,17,132,18.2%,47.9%,(8.3%),(73.4%),(35.7%),(84.0%),(40.0%),(61.5%),,,,,,
306,30,0821,栃木,1-1,A,栃木グ,曇りのち雨,モンテディオ山形,2013,yama,,11,3,0,414,16,14,1,3,32,10,18,27,2,7,2,0,21,7,141,7.8%,51.9%,(9.1%),(65.7%),(18.8%),(90.6%),(30.0%),(94.4%),14,4,0,306,9,12,10,6,20,5,18,36,0,1,2,0,43,12,137,10.2%,48.1%,(7.1%),(59.2%),(0.0%),(70.0%),(60.0%),(72.2%),,,,,,
307,31,0825,富山,3-1,A,富山,曇りのち雨,モンテディオ山形,2013,yama,,5,1,0,366,3,9,3,0,29,12,36,16,0,6,5,1,16,2,136,3.7%,41.9%,(20.0%),(63.1%),(0.0%),(82.8%),(25.0%),(72.2%),19,8,0,545,21,14,6,6,26,20,25,8,2,3,0,0,56,24,146,13.0%,58.1%,(15.8%),(75.8%),(28.6%),(88.5%),(20.0%),(84.0%),,,,,,
308,32,0901,水戸,2-1,H,ＮＤスタ,晴れのち雨,モンテディオ山形,2013,yama,,18,3,0,292,8,14,7,3,24,19,22,26,2,2,1,0,30,8,129,14.0%,48.5%,(11.1%),(62.7%),(0.0%),(79.2%),(26.3%),(86.4%),14,2,1,343,7,16,2,5,19,11,25,20,1,7,2,0,26,13,125,11.2%,51.5%,(7.1%),(71.1%),(14.3%),(68.4%),(36.4%),(76.0%),,,,,,
