,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離
5434,7,0408,松本,1-0,H,カンスタ,晴れ,ファジアーノ岡山,2012,okay,,13,3,0,546,14,9,0,2,31,8,35,41,0,1,1,0,44,15,147,8.8%,54%,(7.7%),(71.2%),(21.4%),(80.6%),(50.0%),(68.6%),16,3,0,437,15,15,1,7,41,6,24,20,5,0,1,0,38,18,171,9.4%,46%,(0.0%),(63.8%),(13.3%),(78.0%),(33.3%),(62.5%),,,,,,
5435,8,0415,千葉,0-0,A,フクアリ,晴れのち曇り,ファジアーノ岡山,2012,okay,,16,4,0,730,30,12,1,6,19,15,19,16,1,1,2,0,57,14,146,11.0%,60.1%,(0.0%),(78.6%),(23.3%),(78.9%),(33.3%),(84.2%),15,3,0,422,10,12,1,2,18,12,25,60,5,1,1,0,37,14,140,10.7%,39.9%,(0.0%),(69.4%),(30.0%),(83.3%),(33.3%),(76.0%),,,,,,
5436,9,0422,鳥取,2-0,H,カンスタ,曇り,ファジアーノ岡山,2012,okay,,18,7,0,430,10,10,1,4,25,10,25,27,3,4,3,0,43,6,143,12.6%,44.1%,(11.1%),(71.9%),(20.0%),(100.0%),(30.0%),(64.0%),18,4,0,522,15,14,4,8,33,7,19,21,3,1,2,0,34,15,160,11.3%,55.9%,(0.0%),(73.0%),(26.7%),(78.8%),(85.7%),(73.7%),,,,,,
5437,10,0427,熊本,0-0,A,熊本,晴れ,ファジアーノ岡山,2012,okay,,21,2,0,388,25,12,0,9,25,9,31,28,3,0,1,0,35,21,153,13.7%,45.7%,(0.0%),(62.6%),(28.0%),(84.0%),(55.6%),(80.6%),13,5,0,513,8,14,0,3,39,11,21,29,3,0,1,0,32,9,151,8.6%,54.3%,(0.0%),(73.3%),(37.5%),(71.8%),(45.5%),(71.4%),,,,,,
5438,11,0430,草津,2-1,H,カンスタ,雨,ファジアーノ岡山,2012,okay,,17,8,0,477,16,13,1,5,35,14,20,27,3,3,3,0,48,14,142,12.0%,48.9%,(11.8%),(74.6%),(31.3%),(77.1%),(35.7%),(80.0%),7,3,0,569,8,11,2,0,32,7,24,15,2,1,2,0,39,8,132,5.3%,51.1%,(14.3%),(79.1%),(25.0%),(71.9%),(57.1%),(54.2%),,,,,,
5439,12,0503,横浜FC,1-0,A,ニッパ球,雨,ファジアーノ岡山,2012,okay,,23,3,0,562,30,16,0,6,19,15,25,15,3,2,1,0,61,20,127,18.1%,58%,(0.0%),(81.1%),(26.7%),(84.2%),(53.3%),(84.0%),14,3,0,399,11,10,1,2,21,12,20,44,3,0,1,0,31,15,122,11.5%,42%,(7.1%),(76.4%),(63.6%),(85.7%),(41.7%),(75.0%),,,,,,
5440,13,0506,岐阜,0-1,H,カンスタ,晴れ,ファジアーノ岡山,2012,okay,,5,1,0,528,12,15,2,4,38,18,19,26,3,3,1,0,36,6,150,3.3%,55%,(0.0%),(74.4%),(0.0%),(92.1%),(55.6%),(73.7%),15,5,0,348,11,12,3,5,30,7,31,34,4,2,2,0,25,7,152,9.9%,45%,(6.7%),(62.6%),(18.2%),(90.0%),(42.9%),(77.4%),,,,,,
5441,14,0513,東京Ｖ,1-0,A,味スタ,晴れ,ファジアーノ岡山,2012,okay,,17,7,0,587,19,14,1,5,38,17,22,21,2,2,1,0,51,25,148,11.5%,52.1%,(0.0%),(80.1%),(26.3%),(84.2%),(47.1%),(68.2%),12,5,0,480,13,9,3,2,14,11,25,44,4,1,1,0,37,12,128,9.4%,47.9%,(8.3%),(78.8%),(30.8%),(85.7%),(45.5%),(84.0%),,,,,,
5442,15,0520,京都,1-2,H,カンスタ,曇り,ファジアーノ岡山,2012,okay,,7,2,0,424,10,13,4,2,32,19,36,35,3,1,0,0,24,8,176,4.0%,42.4%,(14.3%),(63.0%),(0.0%),(78.1%),(42.1%),(72.2%),14,6,0,699,18,11,1,2,36,21,34,27,3,4,0,0,67,17,175,8.0%,57.6%,(14.3%),(76.7%),(22.2%),(80.6%),(28.6%),(73.5%),,,,,,
5443,16,0527,福岡,1-1,A,レベスタ,晴れ,ファジアーノ岡山,2012,okay,,20,7,0,482,24,21,2,4,28,16,16,25,4,4,0,0,48,14,152,13.2%,50.8%,(0.0%),(72.6%),(12.5%),(85.7%),(81.3%),(56.3%),10,4,0,496,17,18,5,4,21,7,15,51,5,2,0,0,36,15,149,6.7%,49.2%,(10.0%),(73.8%),(17.6%),(90.5%),(71.4%),(80.0%),,,,,,
5444,17,0602,愛媛,1-1,H,カンスタ,曇り,ファジアーノ岡山,2012,okay,,17,5,0,484,24,15,1,5,38,17,33,23,1,5,2,0,47,19,155,11.0%,53.5%,(5.9%),(66.5%),(29.2%),(94.7%),(47.1%),(69.7%),14,4,0,365,17,9,5,2,37,14,26,43,2,0,3,1,45,14,151,9.3%,46.5%,(7.1%),(63.6%),(23.5%),(70.3%),(28.6%),(76.9%),,,,,,
5445,18,0609,栃木,1-0,A,栃木グ,雨,ファジアーノ岡山,2012,okay,,18,4,0,460,16,14,2,7,51,11,22,34,2,3,1,0,40,14,160,11.3%,54.5%,(0.0%),(67.6%),(18.8%),(74.5%),(54.5%),(63.6%),12,5,0,368,14,16,3,3,31,14,22,68,0,2,5,0,43,12,140,8.6%,45.5%,(8.3%),(66.8%),(21.4%),(83.9%),(35.7%),(77.3%),,,,,,
5446,19,0613,町田,2-1,H,カンスタ,晴れ,ファジアーノ岡山,2012,okay,,16,6,0,392,24,14,3,4,20,19,20,41,5,1,3,0,54,16,126,12.7%,42.2%,(12.5%),(70.7%),(20.8%),(85.0%),(63.2%),(65.0%),19,6,0,560,16,15,1,3,34,24,12,27,3,3,2,0,30,12,145,13.1%,57.8%,(5.3%),(77.3%),(25.0%),(73.5%),(54.2%),(75.0%),,,,,,
5447,20,0617,湘南,0-2,A,ＢＭＷス,曇り,ファジアーノ岡山,2012,okay,,20,6,0,366,13,13,4,5,26,16,15,22,1,0,0,0,41,20,142,14.1%,44.5%,(10.0%),(68.9%),(23.1%),(84.6%),(50.0%),(66.7%),9,3,0,559,10,17,0,4,24,6,25,23,0,4,0,0,28,7,140,6.4%,55.5%,(0.0%),(76.7%),(20.0%),(95.8%),(66.7%),(72.0%),,,,,,
5448,21,0624,甲府,1-1,H,カンスタ,曇り時々雨,ファジアーノ岡山,2012,okay,,17,6,0,465,18,17,1,7,22,11,32,34,1,3,1,0,42,17,145,11.7%,47.5%,(5.9%),(71.8%),(33.3%),(95.5%),(27.3%),(75.0%),11,3,0,470,13,14,4,8,26,18,24,23,5,1,0,0,44,16,148,7.4%,52.5%,(9.1%),(71.5%),(23.1%),(76.9%),(38.9%),(87.5%),,,,,,
5449,22,0701,京都,1-1,A,西京極,曇り,ファジアーノ岡山,2012,okay,,25,9,0,509,17,13,2,4,39,21,31,33,3,4,1,0,46,15,170,14.7%,55.2%,(4.0%),(71.9%),(29.4%),(82.1%),(57.1%),(74.2%),11,3,0,386,15,8,4,3,39,16,36,31,4,2,1,0,36,6,174,6.3%,44.8%,(9.1%),(60.4%),(6.7%),(84.6%),(50.0%),(75.0%),,,,,,
5450,23,0708,横浜FC,0-1,H,カンスタ,晴れ,ファジアーノ岡山,2012,okay,,13,2,0,455,29,13,3,12,31,14,30,21,0,3,0,0,52,17,139,9.4%,50.8%,(0.0%),(70.1%),(10.3%),(87.1%),(64.3%),(76.7%),9,2,0,389,8,18,3,2,28,15,27,48,1,3,2,0,25,6,128,7.0%,49.2%,(11.1%),(75.3%),(0.0%),(78.6%),(33.3%),(70.4%),,,,,,
5451,24,0715,徳島,0-0,H,カンスタ,晴れ,ファジアーノ岡山,2012,okay,,15,3,0,499,18,11,0,5,28,10,10,26,0,3,2,0,50,16,124,12.1%,47.6%,(0.0%),(76.8%),(22.2%),(89.3%),(50.0%),(70.0%),11,2,0,474,9,10,3,2,22,3,17,31,0,0,0,0,23,10,117,9.4%,52.4%,(0.0%),(78.9%),(11.1%),(68.2%),(66.7%),(58.8%),,,,,,
5452,25,0722,松本,0-3,A,松本,曇り時々雨,ファジアーノ岡山,2012,okay,,20,7,0,294,8,11,2,4,32,11,18,25,6,5,1,0,30,17,139,14.4%,44.1%,(15.0%),(62.6%),(12.5%),(62.5%),(54.5%),(61.1%),12,2,0,534,30,7,5,7,28,13,22,23,5,2,1,0,53,13,143,8.4%,55.9%,(0.0%),(73.6%),(30.0%),(82.1%),(61.5%),(77.3%),,,,,,
5453,26,0729,千葉,0-1,H,カンスタ,晴れ,ファジアーノ岡山,2012,okay,,10,2,0,395,15,10,2,3,14,7,20,33,4,2,1,0,42,12,122,8.2%,40.2%,(0.0%),(69.9%),(40.0%),(85.7%),(71.4%),(70.0%),15,8,0,707,24,8,2,6,32,6,19,16,0,1,1,0,58,17,134,11.2%,59.8%,(6.7%),(81.3%),(29.2%),(75.0%),(50.0%),(68.4%),,,,,,
5454,27,0805,熊本,2-0,H,カンスタ,晴れ,ファジアーノ岡山,2012,okay,,25,8,0,339,15,12,5,9,17,11,17,19,6,1,2,0,48,18,137,18.2%,40.8%,(8.0%),(65.8%),(13.3%),(70.6%),(27.3%),(76.5%),13,2,0,520,10,17,1,2,29,12,12,24,3,5,3,0,37,15,142,9.2%,59.2%,(0.0%),(75.6%),(40.0%),(100.0%),(33.3%),(75.0%),,,,,,
5455,28,0812,鳥取,2-0,A,とりスタ,雨,ファジアーノ岡山,2012,okay,,19,8,0,482,23,14,6,4,26,13,17,32,0,2,1,0,49,15,140,13.6%,56.9%,(0.0%),(71.0%),(47.8%),(84.6%),(53.8%),(82.4%),12,5,0,388,16,15,2,4,27,10,20,27,0,6,2,0,42,9,146,8.2%,43.1%,(16.7%),(62.6%),(31.3%),(96.3%),(70.0%),(80.0%),,,,,,
5456,29,0819,岐阜,2-1,A,長良川球,晴れ,ファジアーノ岡山,2012,okay,,8,1,0,419,19,13,3,5,42,11,26,29,2,5,2,0,38,14,166,4.8%,51.6%,(12.5%),(64.4%),(15.8%),(76.2%),(36.4%),(69.2%),10,2,0,383,16,11,5,3,24,15,13,42,1,2,2,0,42,12,145,6.9%,48.4%,(20.0%),(66.8%),(12.5%),(83.3%),(33.3%),(69.2%),,,,,,
5457,30,0822,北九州,1-1,H,カンスタ,晴れ,ファジアーノ岡山,2012,okay,,17,2,0,481,22,14,3,2,31,16,26,17,2,1,1,0,51,13,131,13.0%,52.4%,(5.9%),(76.7%),(27.3%),(90.3%),(31.3%),(80.8%),12,4,0,384,5,14,1,3,21,9,20,24,5,1,4,0,34,9,123,9.8%,47.6%,(8.3%),(74.7%),(20.0%),(81.0%),(44.4%),(60.0%),,,,,,
5458,31,0826,大分,0-0,H,カンスタ,晴れ,ファジアーノ岡山,2012,okay,,23,2,0,432,26,11,2,5,32,12,21,21,1,1,1,0,50,23,137,16.8%,53.4%,(0.0%),(75.2%),(38.5%),(71.9%),(58.3%),(81.0%),12,4,0,344,14,10,1,8,17,13,18,41,1,2,0,0,28,12,128,9.4%,46.6%,(0.0%),(66.3%),(28.6%),(70.6%),(38.5%),(72.2%),,,,,,
5459,32,0902,町田,2-2,A,町田,雨,ファジアーノ岡山,2012,okay,,12,6,0,698,12,23,4,4,22,16,16,17,5,3,1,0,43,12,150,8.0%,63.5%,(16.7%),(82.2%),(25.0%),(95.5%),(31.3%),(81.3%),12,5,0,386,17,13,3,1,29,11,19,14,5,4,1,0,37,12,142,8.5%,36.5%,(16.7%),(66.1%),(29.4%),(72.4%),(36.4%),(84.2%),,,,,,
5460,33,0914,甲府,0-1,A,中銀スタ,晴れ,ファジアーノ岡山,2012,okay,,21,7,0,469,20,10,0,10,27,14,11,25,1,0,2,0,48,14,126,16.7%,47.6%,(4.8%),(79.1%),(5.0%),(77.8%),(78.6%),(81.8%),9,2,0,583,14,10,0,6,18,8,11,34,3,0,0,0,42,13,121,7.4%,52.4%,(0.0%),(81.6%),(7.1%),(94.4%),(37.5%),(90.9%),,,,,,
5461,34,0917,湘南,3-1,H,カンスタ,曇り一時雨,ファジアーノ岡山,2012,okay,,13,6,0,459,13,11,4,4,18,14,21,40,1,1,1,0,41,12,142,9.2%,49.1%,(23.1%),(76.7%),(7.7%),(83.3%),(71.4%),(95.2%),12,4,0,464,26,10,1,6,29,16,20,13,4,4,2,0,51,10,150,8.0%,50.9%,(8.3%),(73.7%),(19.2%),(93.1%),(56.3%),(85.0%),,,,,,
5462,35,0923,愛媛,0-1,A,ニンスタ,晴れ,ファジアーノ岡山,2012,okay,,6,1,0,332,11,12,4,4,23,15,31,25,7,1,2,0,27,4,137,4.4%,44.6%,(16.7%),(66.3%),(9.1%),(91.3%),(46.7%),(80.6%),13,2,0,540,12,14,1,5,21,19,17,20,0,3,0,0,51,10,138,9.4%,55.4%,(0.0%),(79.3%),(16.7%),(85.7%),(42.1%),(70.6%),,,,,,
5463,36,0930,富山,1-1,A,富山,雨,ファジアーノ岡山,2012,okay,,10,4,0,546,14,8,1,6,33,9,23,33,3,2,0,0,28,9,168,6.0%,52.9%,(10.0%),(68.1%),(14.3%),(78.8%),(55.6%),(78.3%),16,4,0,432,18,16,2,6,29,10,23,34,3,1,1,0,46,24,167,9.6%,47.1%,(6.3%),(58.8%),(5.6%),(82.8%),(40.0%),(82.6%),,,,,,
5464,37,1006,福岡,2-1,H,津山,曇り,ファジアーノ岡山,2012,okay,,10,5,0,321,12,13,1,1,17,6,26,38,6,4,1,0,26,11,137,7.3%,35.1%,(20.0%),(63.6%),(25.0%),(70.6%),(50.0%),(65.4%),25,6,0,694,24,11,4,6,25,14,12,18,2,0,0,0,56,15,154,16.2%,64.9%,(4.0%),(79.7%),(20.8%),(92.0%),(50.0%),(91.7%),,,,,,
5465,38,1014,東京Ｖ,2-0,H,カンスタ,曇り,ファジアーノ岡山,2012,okay,,8,3,0,312,6,9,3,4,17,14,26,40,4,2,2,1,26,7,129,6.2%,40.4%,(25.0%),(68.6%),(16.7%),(88.2%),(21.4%),(80.8%),25,6,0,618,39,16,2,9,34,24,22,8,1,3,4,0,77,29,143,17.5%,59.6%,(0.0%),(80.9%),(28.2%),(94.1%),(70.8%),(86.4%),,,,,,
5466,39,1021,草津,0-1,A,正田スタ,晴れ,ファジアーノ岡山,2012,okay,,18,5,0,505,17,12,2,5,31,15,21,32,5,1,0,0,51,21,136,13.2%,55.4%,(5.6%),(76.4%),(47.1%),(64.5%),(46.7%),(61.9%),16,4,0,410,21,15,1,11,16,12,24,29,4,0,0,0,38,23,139,11.5%,44.6%,(0.0%),(70.0%),(38.1%),(93.8%),(33.3%),(75.0%),,,,,,
5467,40,1028,水戸,0-0,A,Ｋｓスタ,雨,ファジアーノ岡山,2012,okay,,8,0,0,482,22,21,4,8,35,14,20,37,1,4,3,1,39,10,156,5.1%,53.5%,(0.0%),(68.3%),(0.0%),(85.7%),(28.6%),(90.0%),9,4,0,417,15,10,4,4,24,5,29,43,2,4,3,0,47,8,144,6.3%,46.5%,(0.0%),(69.3%),(6.7%),(79.2%),(60.0%),(69.0%),,,,,,
5468,41,1104,栃木,2-1,H,カンスタ,曇り,ファジアーノ岡山,2012,okay,,11,7,0,473,13,10,3,2,20,10,19,26,5,1,2,0,25,9,137,8.0%,42.4%,(18.2%),(71.7%),(30.8%),(90.0%),(20.0%),(84.2%),16,6,0,684,17,17,1,8,27,14,25,23,2,2,1,0,43,14,151,10.6%,57.6%,(6.3%),(79.4%),(11.8%),(81.5%),(28.6%),(72.0%),,,,,,
5469,42,1111,山形,2-0,A,ＮＤスタ,曇り,ファジアーノ岡山,2012,okay,,12,2,0,356,25,10,2,7,26,21,26,23,1,3,6,1,45,16,129,9.3%,43.3%,(0.0%),(67.4%),(20.0%),(80.8%),(57.1%),(80.8%),11,4,0,569,10,25,3,0,23,14,23,24,1,2,3,0,42,13,128,8.6%,56.7%,(18.2%),(81.0%),(30.0%),(82.6%),(64.3%),(69.6%),,,,,,
5470,1,0303,長崎,1-1,H,カンスタ,晴れ,ファジアーノ岡山,2013,okay,,17,4,0,534,13,16,4,2,29,17,33,23,7,2,0,0,47,10,170,10.0%,54.6%,(5.9%),(69.7%),(15.4%),(86.2%),(47.1%),(78.8%),13,4,0,425,14,14,2,3,36,13,32,31,10,4,2,0,35,12,182,7.1%,45.4%,(7.7%),(60.9%),(21.4%),(83.3%),(15.4%),(75.0%),,,,,,
5471,2,0310,北九州,0-0,H,カンスタ,曇り,ファジアーノ岡山,2013,okay,,15,1,0,545,18,15,2,6,31,10,15,16,3,3,1,0,53,11,149,10.1%,59.7%,(0.0%),(73.6%),(0.0%),(83.9%),(30.0%),(100.0%),14,3,0,301,9,17,4,5,24,5,19,26,5,2,3,0,18,9,137,10.2%,40.3%,(0.0%),(55.1%),(11.1%),(79.2%),(60.0%),(78.9%),,,,,,
5472,3,0317,東京Ｖ,1-1,A,味スタ,晴れ,ファジアーノ岡山,2013,okay,,13,2,0,532,17,11,1,5,39,11,21,19,0,3,2,0,37,5,159,8.2%,53.7%,(7.7%),(68.4%),(11.8%),(84.6%),(54.5%),(76.2%),17,9,0,440,11,22,3,3,21,5,21,20,5,0,1,0,44,12,150,11.3%,46.3%,(5.9%),(69.3%),(27.3%),(95.2%),(20.0%),(61.9%),,,,,,
5473,4,0320,水戸,1-1,H,カンスタ,曇り,ファジアーノ岡山,2013,okay,,12,3,0,409,17,13,3,3,27,13,26,32,5,6,5,0,33,10,154,7.8%,53.8%,(8.3%),(65.0%),(29.4%),(85.2%),(53.8%),(88.5%),18,4,0,380,16,16,6,2,46,7,17,22,3,3,4,1,32,19,160,11.3%,46.2%,(5.6%),(60.5%),(31.3%),(67.4%),(28.6%),(82.4%),,,,,,
5474,5,0324,横浜FC,1-0,A,ニッパ球,晴れ,ファジアーノ岡山,2013,okay,,20,3,0,536,23,21,0,6,29,15,27,31,1,2,0,0,40,25,148,13.5%,54.9%,(0.0%),(74.8%),(30.4%),(72.4%),(46.7%),(66.7%),9,2,0,405,20,13,2,5,33,10,32,33,1,0,2,0,37,10,141,6.4%,45.1%,(11.1%),(66.9%),(10.0%),(75.8%),(60.0%),(65.6%),,,,,,
5475,6,0331,愛媛,1-0,A,ニンスタ,曇り,ファジアーノ岡山,2013,okay,,11,2,0,558,15,15,4,2,36,5,29,15,2,2,2,0,38,14,155,7.1%,50.1%,(0.0%),(73.3%),(20.0%),(83.3%),(40.0%),(93.1%),11,2,0,459,11,8,2,6,20,8,27,30,5,3,2,0,25,11,150,7.3%,49.9%,(9.1%),(71.9%),(27.3%),(85.0%),(37.5%),(77.8%),,,,,,
5476,7,0407,札幌,3-2,H,カンスタ,曇り,ファジアーノ岡山,2013,okay,,16,6,0,407,11,16,3,8,37,11,21,28,5,2,0,0,42,15,170,9.4%,49.1%,(18.8%),(68.1%),(18.2%),(78.4%),(27.3%),(95.2%),12,4,0,440,13,10,4,6,41,9,31,22,1,3,1,0,34,10,161,7.5%,50.9%,(16.7%),(68.2%),(61.5%),(61.0%),(44.4%),(67.7%),,,,,,
5477,8,0414,千葉,0-0,A,フクアリ,曇り,ファジアーノ岡山,2013,okay,,16,4,0,581,22,9,1,6,27,21,11,17,2,0,1,0,49,18,146,11.0%,53.3%,(0.0%),(81.1%),(22.7%),(81.5%),(52.4%),(100.0%),15,2,0,483,9,11,0,1,23,10,26,30,4,1,1,0,46,9,149,10.1%,46.7%,(0.0%),(75.8%),(33.3%),(78.3%),(20.0%),(88.5%),,,,,,
5478,9,0417,京都,1-1,H,カンスタ,晴れ,ファジアーノ岡山,2013,okay,,5,1,0,375,12,13,3,2,27,10,46,49,5,1,2,0,27,12,168,3.0%,44.5%,(20.0%),(62.9%),(16.7%),(70.4%),(40.0%),(84.8%),13,4,0,623,20,14,1,7,43,27,27,16,8,2,2,0,62,13,182,7.1%,55.5%,(7.7%),(74.0%),(15.0%),(90.7%),(25.9%),(85.2%),,,,,,
5479,10,0421,群馬,2-0,H,カンスタ,晴れ,ファジアーノ岡山,2013,okay,,7,4,0,348,8,16,1,2,24,9,33,23,3,1,0,0,19,6,132,5.3%,36.3%,(28.6%),(66.7%),(0.0%),(66.7%),(33.3%),(78.8%),9,2,0,651,15,13,1,5,24,11,30,12,0,1,0,0,45,14,139,6.5%,63.7%,(0.0%),(80.6%),(33.3%),(83.3%),(54.5%),(83.3%),,,,,,
5480,11,0428,神戸,3-3,A,ノエスタ,晴れ,ファジアーノ岡山,2013,okay,,17,6,1,470,10,10,2,3,29,12,10,27,3,2,1,0,36,13,145,11.7%,46.1%,(17.6%),(70.0%),(10.0%),(79.3%),(41.7%),(60.0%),17,6,0,548,11,7,3,4,34,15,20,21,3,2,0,0,33,11,158,10.8%,53.9%,(17.6%),(72.4%),(27.3%),(76.5%),(53.3%),(70.0%),,,,,,
5481,12,0503,栃木,0-1,A,栃木グ,晴れ,ファジアーノ岡山,2013,okay,,12,5,0,439,13,6,2,6,40,15,24,21,4,2,2,0,45,17,150,8.0%,53.9%,(8.3%),(67.9%),(23.1%),(75.0%),(33.3%),(66.7%),10,1,0,403,12,14,3,3,32,15,24,33,6,2,0,0,43,10,144,6.9%,46.1%,(0.0%),(64.8%),(8.3%),(81.3%),(53.3%),(75.0%),,,,,,
5482,13,0506,山形,4-3,H,カンスタ,晴れ,ファジアーノ岡山,2013,okay,,9,5,0,285,7,11,3,0,20,10,29,66,0,0,0,0,28,8,130,6.9%,40.5%,(44.4%),(65.3%),(28.6%),(85.0%),(50.0%),(79.3%),28,7,1,482,30,19,0,17,34,18,25,12,6,3,2,0,36,19,154,18.2%,59.5%,(10.7%),(72.8%),(23.3%),(79.4%),(38.9%),(64.0%),,,,,,
5483,14,0512,鳥取,0-0,A,とりスタ,晴れ,ファジアーノ岡山,2013,okay,,15,3,0,319,18,8,5,5,38,12,31,23,4,1,2,0,32,10,152,9.9%,45.6%,(0.0%),(58.0%),(16.7%),(76.3%),(25.0%),(77.4%),9,4,0,452,16,8,2,7,30,19,30,22,5,4,1,0,37,11,143,6.3%,54.4%,(0.0%),(69.0%),(18.8%),(86.7%),(47.4%),(70.0%),,,,,,
5484,15,0519,徳島,2-0,H,カンスタ,雨,ファジアーノ岡山,2013,okay,,11,4,0,510,11,8,0,3,25,4,17,23,2,3,1,0,36,6,130,8.5%,46.6%,(18.2%),(73.5%),(18.2%),(100.0%),(50.0%),(64.7%),13,4,0,631,17,10,3,2,38,4,12,22,2,0,1,0,55,16,139,9.4%,53.4%,(0.0%),(78.1%),(17.6%),(78.9%),(50.0%),(75.0%),,,,,,
5485,16,0526,熊本,2-3,H,カンスタ,晴れ,ファジアーノ岡山,2013,okay,,13,4,0,490,11,16,1,1,34,10,30,13,2,2,2,0,32,6,158,8.2%,51.1%,(15.4%),(67.6%),(18.2%),(73.5%),(60.0%),(56.7%),15,10,0,469,7,15,2,2,24,14,30,21,7,1,4,0,44,12,156,9.6%,48.9%,(20.0%),(67.2%),(14.3%),(100.0%),(64.3%),(70.0%),,,,,,
5486,17,0602,岐阜,0-0,A,長良川,曇り,ファジアーノ岡山,2013,okay,,5,0,0,292,8,11,3,7,33,12,28,30,6,0,1,0,19,6,143,3.5%,38.5%,(0.0%),(54.1%),(0.0%),(90.9%),(50.0%),(64.3%),13,3,0,598,21,14,0,6,45,15,25,22,2,3,0,0,47,19,158,8.2%,61.5%,(0.0%),(75.4%),(28.6%),(88.9%),(46.7%),(68.0%),,,,,,
5487,18,0608,松本,0-1,A,松本,晴れ,ファジアーノ岡山,2013,okay,,16,3,0,473,15,11,1,2,21,16,8,37,4,2,3,0,37,16,131,12.2%,56.4%,(6.3%),(70.8%),(46.7%),(76.2%),(37.5%),(75.0%),19,5,0,345,27,16,2,11,24,13,14,17,0,1,2,0,44,17,148,12.8%,43.6%,(0.0%),(61.2%),(25.9%),(87.5%),(46.2%),(64.3%),,,,,,
5488,19,0615,福岡,1-1,H,カンスタ,曇り,ファジアーノ岡山,2013,okay,,19,4,1,417,13,11,0,7,17,25,15,27,7,4,1,0,39,14,128,14.8%,44.8%,(5.3%),(73.9%),(23.1%),(70.6%),(52.0%),(73.3%),14,4,0,559,29,20,4,8,26,20,18,17,5,1,5,0,43,8,142,9.9%,55.2%,(7.1%),(78.5%),(17.2%),(76.9%),(50.0%),(83.3%),,,,,,
5489,20,0622,Ｇ大阪,1-1,A,万博,晴れ,ファジアーノ岡山,2013,okay,,20,4,0,747,13,15,3,7,27,11,12,16,2,1,3,0,59,26,143,14.0%,63.2%,(5.0%),(81.7%),(23.1%),(85.2%),(63.6%),(83.3%),10,1,0,352,14,9,2,1,17,6,23,32,1,1,2,0,37,7,123,8.1%,36.8%,(10.0%),(67.0%),(28.6%),(94.1%),(16.7%),(82.6%),,,,,,
5490,21,0629,富山,0-0,A,富山,晴れ,ファジアーノ岡山,2013,okay,,7,1,0,321,20,20,1,3,17,14,20,34,4,1,3,1,30,13,133,5.3%,36.2%,(0.0%),(68.8%),(15.0%),(64.7%),(42.9%),(85.0%),11,2,0,610,22,11,1,6,36,14,23,15,1,0,2,0,54,12,135,8.1%,63.8%,(0.0%),(79.3%),(18.2%),(94.4%),(21.4%),(78.3%),,,,,,
5491,22,0703,神戸,1-0,H,カンスタ,曇り,ファジアーノ岡山,2013,okay,,11,4,0,335,13,13,2,2,21,15,16,26,6,1,2,0,20,7,141,7.8%,38.3%,(9.1%),(62.1%),(23.1%),(95.2%),(46.7%),(62.5%),15,1,0,689,27,18,1,0,41,8,26,18,5,2,1,0,59,16,150,10.0%,61.7%,(0.0%),(77.4%),(14.8%),(90.2%),(62.5%),(92.3%),,,,,,
5492,23,0707,横浜FC,0-0,H,カンスタ,晴れ,ファジアーノ岡山,2013,okay,,11,5,0,278,3,18,2,3,17,8,24,25,1,1,2,1,19,7,116,9.5%,37.4%,(0.0%),(66.9%),(0.0%),(88.2%),(62.5%),(70.8%),20,1,0,617,25,12,1,8,27,13,13,18,4,2,3,0,63,19,121,16.5%,62.6%,(0.0%),(82.5%),(20.0%),(77.8%),(46.2%),(69.2%),,,,,,
5493,24,0714,水戸,0-1,A,Ｋｓスタ,晴れ,ファジアーノ岡山,2013,okay,,9,3,0,394,9,11,1,3,23,11,17,31,2,3,3,1,29,7,129,7.0%,48%,(11.1%),(74.4%),(22.2%),(91.3%),(54.5%),(41.2%),21,5,0,487,20,11,3,6,25,14,23,9,1,0,1,0,59,15,128,16.4%,52%,(0.0%),(73.3%),(5.0%),(92.0%),(64.3%),(52.2%),,,,,,
