,年月日,キックオフ時刻,スタジアム,入場者数,天候,気温,湿度,H_team,H_監督,A_team,A_監督,H_ポジション1,H_選手1,H_ポジション2,H_選手2,H_ポジション3,H_選手3,H_ポジション4,H_選手4,H_ポジション5,H_選手5,H_ポジション6,H_選手6,H_ポジション7,H_選手7,H_ポジション8,H_選手8,H_ポジション9,H_選手9,H_ポジション10,H_選手10,H_ポジション11,H_選手11,A_ポジション1,A_選手1,A_ポジション2,A_選手2,A_ポジション3,A_選手3,A_ポジション4,A_選手4,A_ポジション5,A_選手5,A_ポジション6,A_選手6,A_ポジション7,A_選手7,A_ポジション8,A_選手8,A_ポジション9,A_選手9,A_ポジション10,A_選手10,A_ポジション11,A_選手11,url
24562,20201121,14:03,山梨中銀スタジアム,"5,309  人",晴,21.2,20,ヴァンフォーレ甲府,伊藤　彰,ジュビロ磐田,鈴木　政一,GK,岡西　宏祐,DF,荒木　翔,DF,小柳　達司,DF,今津　佑太,DF,内田　健太,MF,新井　涼平,MF,野澤　英之,MF,武田　将平,FW,松田　力,FW,泉澤　仁,FW,ドゥドゥ,GK,八田　直樹,DF,大井　健太郎,DF,小川　大貴,DF,山本　義道,MF,大森　晃太郎,MF,山田　大記,MF,松本　昌也,MF,伊藤　洋輝,MF,山本　康裕,MF,遠藤　保仁,FW,中野　誠也,https://data.j-league.or.jp/SFMS02/?match_card_id=24562
24563,20201121,15:03,サンプロ　アルウィン,"6,228  人",晴,11.1,43,松本山雅ＦＣ,柴田　峡,ファジアーノ岡山,有馬　賢二,GK,村山　智彦,DF,浦田　延尚,DF,大野　佑哉,DF,橋内　優也,DF,常田　克人,MF,鈴木　雄斗,MF,佐藤　和弘,MF,杉本　太郎,MF,前　貴之,FW,阪野　豊史,FW,セルジーニョ,GK,ポープ　ウィリアム,DF,椋原　健太,DF,濱田　水輝,DF,田中　裕介,DF,徳元　悠平,MF,野口　竜彦,MF,パウリーニョ,MF,上田　康太,MF,上門　知樹,FW,イ　ヨンジェ,FW,齊藤　和樹,https://data.j-league.or.jp/SFMS02/?match_card_id=24563
24564,20201121,14:03,石川県西部緑地公園陸上競技場,"2,808  人",晴,16.4,42,ツエーゲン金沢,柳下　正明,アルビレックス新潟,アルベルト,GK,白井　裕人,DF,下川　陽太,DF,石尾　崚雅,DF,廣井　友信,DF,ホドルフォ,MF,島津　頼盛,MF,大橋　尚志,MF,藤村　慶太,MF,本塚　聖也,FW,山根　永遠,FW,加藤　陸次樹,GK,藤田　和輝,DF,田上　大地,DF,マウロ,DF,舞行龍ジェームズ,DF,堀米　悠斗,MF,中島　元彦,MF,島田　譲,MF,大本　祐槻,MF,高木　善朗,MF,本間　至恩,FW,鄭　大世,https://data.j-league.or.jp/SFMS02/?match_card_id=24564
24565,20201121,14:03,サンガスタジアム　ｂｙ　ＫＹＯＣＥＲＡ,"8,589  人",晴,14.1,50,京都サンガF.C.,實好　礼忠,徳島ヴォルティス,リカルド　ロドリゲス,GK,清水　圭介,DF,飯田　貴敬,DF,本多　勇喜,DF,安藤　淳,DF,ヨルディ　バイス,DF,冨田　康平,MF,荒木　大吾,MF,庄司　悦大,MF,仙頭　啓矢,MF,福岡　慎平,FW,ピーター　ウタカ,GK,上福元　直人,DF,藤田　征也,DF,内田　航平,DF,石井　秀典,DF,福岡　将太,MF,岩尾　憲,MF,小西　雄大,MF,西谷　和希,FW,清武　功暉,FW,杉森　考起,FW,垣田　裕暉,https://data.j-league.or.jp/SFMS02/?match_card_id=24565
24566,20201121,14:03,ニンジニアスタジアム,"1,340  人",晴,17.7,49,愛媛ＦＣ,川井　健太,ザスパクサツ群馬,奥野　僚右,GK,岡本　昌弘,DF,茂木　力也,DF,山﨑　浩介,DF,前野　貴徳,MF,西岡　大志,MF,森谷　賢太郎,MF,川村　拓夢,MF,長沼　洋一,FW,吉田　眞紀人,FW,山瀬　功治,FW,有田　光希,GK,清水　慶記,DF,舩津　徹也,DF,岡村　大八,DF,渡辺　広大,DF,小島　雅也,MF,田中　稔也,MF,岩上　祐三,MF,内田　達也,MF,加藤　潤也,FW,青木　翔大,FW,大前　元紀,https://data.j-league.or.jp/SFMS02/?match_card_id=24566
24567,20201121,14:03,ベスト電器スタジアム,"4,590  人",晴,19.0,40,アビスパ福岡,長谷部　茂利,モンテディオ山形,石丸　清隆,GK,村上　昌謙,DF,エミル　サロモンソン,DF,輪湖　直樹,DF,ドウグラス　グローリ,DF,上島　拓巳,MF,前　寛之,MF,山岸　祐也,MF,増山　朝陽,MF,松本　泰志,FW,フアンマ　デルガド,FW,遠野　大弥,GK,藤嶋　栄介,DF,山田　拓巳,DF,熊本　雄太,DF,野田　裕喜,MF,加藤　大樹,MF,岡﨑　建哉,MF,中村　駿,MF,松本　怜大,FW,渡邊　凌磨,FW,ヴィニシウス　アラウージョ,FW,南　秀仁,https://data.j-league.or.jp/SFMS02/?match_card_id=24567
24568,20201121,16:03,タピック県総ひやごんスタジアム,"2,049  人",晴,24.8,61,ＦＣ琉球,樋口　靖洋,ギラヴァンツ北九州,小林　伸二,GK,田口　潤人,DF,田中　恵太,DF,李　栄直,DF,福井　諒司,DF,鳥養　祐矢,MF,風間　宏希,MF,市丸　瑞希,MF,風間　宏矢,MF,河合　秀人,MF,小泉　佳穂,FW,阿部　拓馬,GK,永井　堅梧,DF,村松　航太,DF,藤原　奏哉,DF,生駒　仁,DF,永田　拓也,MF,髙橋　大悟,MF,國分　伸太郎,MF,針谷　岳晃,MF,椿　直起,FW,町野　修斗,FW,鈴木　国友,https://data.j-league.or.jp/SFMS02/?match_card_id=24568
24569,20201125,19:03,ＮＤソフトスタジアム山形,"1,875  人",晴,7.5,67,モンテディオ山形,石丸　清隆,ツエーゲン金沢,柳下　正明,GK,藤嶋　栄介,DF,山田　拓巳,DF,熊本　雄太,DF,野田　裕喜,MF,加藤　大樹,MF,岡﨑　建哉,MF,小松　駿太,MF,松本　怜大,FW,渡邊　凌磨,FW,ヴィニシウス　アラウージョ,FW,前川　大河,GK,石井　綾,DF,長谷川　巧,DF,石尾　崚雅,DF,作田　裕次,DF,渡邊　泰基,MF,島津　頼盛,MF,大橋　尚志,MF,本塚　聖也,MF,ホドルフォ,FW,杉浦　恭平,FW,加藤　陸次樹,https://data.j-league.or.jp/SFMS02/?match_card_id=24569
24570,20201125,19:03,ケーズデンキスタジアム水戸,"1,098  人",曇一時雨,11.1,83,水戸ホーリーホック,秋葉　忠宏,ギラヴァンツ北九州,小林　伸二,GK,牲川　歩見,DF,住吉　ジェラニレショーン,DF,ンドカ　ボニフェイス,DF,前嶋　洋太,MF,山田　康太,MF,平野　佑一,MF,平塚　悠知,MF,外山　凌,FW,奥田　晃也,FW,中山　仁斗,FW,山口　一真,GK,永井　堅梧,DF,村松　航太,DF,藤原　奏哉,DF,生駒　仁,DF,永田　拓也,MF,髙橋　大悟,MF,新垣　貴之,MF,永野　雄大,MF,國分　伸太郎,MF,針谷　岳晃,FW,鈴木　国友,https://data.j-league.or.jp/SFMS02/?match_card_id=24570
24571,20201125,19:03,正田醤油スタジアム群馬,"1,140  人",曇,13.0,66,ザスパクサツ群馬,奥野　僚右,大宮アルディージャ,高木　琢也,GK,清水　慶記,DF,飯野　七聖,DF,岡村　大八,DF,渡辺　広大,DF,小島　雅也,MF,田中　稔也,MF,岩上　祐三,MF,内田　達也,MF,白石　智之,FW,青木　翔大,FW,大前　元紀,GK,笠原　昂史,DF,山田　将之,DF,畑尾　大翔,DF,西村　慧祐,DF,山越　康平,MF,小島　幹敏,MF,小野　雅史,MF,青木　亮太,MF,菊地　俊介,MF,黒川　淳史,MF,翁長　聖,https://data.j-league.or.jp/SFMS02/?match_card_id=24571
24572,20201125,18:03,味の素フィールド西が丘,"1,805  人",曇,12.4,77,東京ヴェルディ,永井　秀樹,アビスパ福岡,長谷部　茂利,GK,マテウス,DF,若狭　大志,DF,高橋　祥平,DF,平　智広,DF,福村　貴幸,MF,藤田　譲瑠チマ,MF,山本　理仁,MF,井出　遥也,FW,小池　純輝,FW,端戸　仁,FW,山下　諒也,GK,セランテス,DF,エミル　サロモンソン,DF,輪湖　直樹,DF,ドウグラス　グローリ,DF,上島　拓巳,MF,前　寛之,MF,重廣　卓也,MF,石津　大介,MF,福満　隆貴,FW,山岸　祐也,FW,遠野　大弥,https://data.j-league.or.jp/SFMS02/?match_card_id=24572
24573,20201125,19:03,デンカビッグスワンスタジアム,"4,512  人",晴のち雨,13.0,51,アルビレックス新潟,アルベルト,愛媛ＦＣ,川井　健太,GK,藤田　和輝,DF,田上　大地,DF,マウロ,DF,舞行龍ジェームズ,DF,早川　史哉,MF,高木　善朗,MF,島田　譲,MF,中島　元彦,MF,本間　至恩,MF,堀米　悠斗,FW,矢村　健,GK,岡本　昌弘,DF,茂木　力也,DF,山﨑　浩介,DF,前野　貴徳,MF,西岡　大志,MF,森谷　賢太郎,MF,山瀬　功治,MF,長沼　洋一,FW,忽那　喬司,FW,川村　拓夢,FW,丹羽　詩温,https://data.j-league.or.jp/SFMS02/?match_card_id=24573
24574,20201125,19:33,ヤマハスタジアム（磐田）,"2,408  人",晴,14.5,38,ジュビロ磐田,鈴木　政一,ＦＣ琉球,樋口　靖洋,GK,八田　直樹,DF,大井　健太郎,DF,小川　大貴,DF,山本　義道,MF,大森　晃太郎,MF,山田　大記,MF,松本　昌也,MF,伊藤　洋輝,MF,山本　康裕,MF,遠藤　保仁,FW,中野　誠也,GK,田口　潤人,DF,上原　牧人,DF,李　栄直,DF,福井　諒司,DF,田中　恵太,MF,風間　宏希,MF,上里　一将,MF,風間　宏矢,MF,河合　秀人,MF,池田　廉,FW,小泉　佳穂,https://data.j-league.or.jp/SFMS02/?match_card_id=24574
24575,20201125,19:03,サンガスタジアム　ｂｙ　ＫＹＯＣＥＲＡ,"1,616  人",晴,8.2,85,京都サンガF.C.,實好　礼忠,ヴァンフォーレ甲府,伊藤　彰,GK,清水　圭介,DF,飯田　貴敬,DF,本多　勇喜,DF,安藤　淳,DF,ヨルディ　バイス,DF,冨田　康平,MF,荒木　大吾,MF,庄司　悦大,MF,仙頭　啓矢,MF,福岡　慎平,FW,ピーター　ウタカ,GK,河田　晃兵,DF,今津　佑太,DF,山本　英臣,DF,メンデス,DF,内田　健太,MF,中山　陸,MF,中村　亮太朗,MF,武田　将平,MF,小林　岩魚,FW,松田　力,FW,ラファエル,https://data.j-league.or.jp/SFMS02/?match_card_id=24575
24576,20201125,19:03,シティライトスタジアム,"1,909  人",晴,11.3,73,ファジアーノ岡山,有馬　賢二,栃木ＳＣ,田坂　和昭,GK,ポープ　ウィリアム,DF,椋原　健太,DF,阿部　海大,DF,田中　裕介,DF,徳元　悠平,MF,齊藤　和樹,MF,関戸　健二,MF,パウリーニョ,MF,上門　知樹,FW,イ　ヨンジェ,FW,赤嶺　真吾,GK,塩田　仁史,DF,黒﨑　隼人,DF,柳　育崇,DF,田代　雅也,MF,山本　廉,MF,岩間　雄大,MF,西谷　優希,MF,溝渕　雄志,FW,エスクデロ　競飛王,FW,明本　考浩,FW,森　俊貴,https://data.j-league.or.jp/SFMS02/?match_card_id=24576
24577,20201125,19:03,維新みらいふスタジアム,"1,124  人",晴,13.5,75,レノファ山口ＦＣ,霜田　正浩,ジェフユナイテッド千葉,尹　晶煥,GK,吉満　大介,DF,川井　歩,DF,眞鍋　旭輝,DF,ヘナン,DF,安在　和樹,MF,佐藤　健太郎,MF,古賀　俊太郎,MF,池上　丈二,MF,森　晃太,FW,小松　蓮,FW,高井　和馬,GK,新井　章太,DF,ゲリア,DF,新井　一耀,DF,鳥海　晃司,DF,安田　理大,MF,熊谷　アンドリュー,MF,田口　泰士,MF,堀米　勇輝,FW,アラン　ピニェイロ,FW,船山　貴之,FW,クレーベ,https://data.j-league.or.jp/SFMS02/?match_card_id=24577
24578,20201125,19:03,鳴門・大塚スポーツパーク ポカリスエットスタジアム,"2,349  人",曇,12.7,64,徳島ヴォルティス,リカルド　ロドリゲス,ＦＣ町田ゼルビア,ランコ　ポポヴィッチ,GK,上福元　直人,DF,福岡　将太,DF,内田　航平,DF,田向　泰輝,MF,岩尾　憲,MF,小西　雄大,MF,岸本　武流,MF,西谷　和希,MF,島屋　八徳,FW,浜下　瑛,FW,垣田　裕暉,GK,福井　光輝,DF,酒井　隆介,DF,深津　康太,DF,水本　裕貴,DF,奥山　政幸,MF,髙江　麗央,MF,佐野　海舟,MF,吉尾　海夏,MF,平戸　太貴,MF,岡田　優希,FW,ステファン,https://data.j-league.or.jp/SFMS02/?match_card_id=24578
24579,20201125,19:03,トランスコスモススタジアム長崎,"3,048  人",晴,14.2,76,Ｖ・ファーレン長崎,手倉森　誠,松本山雅ＦＣ,柴田　峡,GK,徳重　健太,DF,毎熊　晟矢,DF,フレイレ,DF,二見　宏志,DF,江川　湧清,MF,名倉　巧,MF,カイオ　セザール,MF,秋野　央樹,MF,氣田　亮真,FW,玉田　圭司,FW,富樫　敬真,GK,村山　智彦,DF,浦田　延尚,DF,大野　佑哉,DF,橋内　優也,DF,常田　克人,MF,前　貴之,MF,塚川　孝輝,MF,佐藤　和弘,MF,高橋　諒,FW,ジャエル,FW,セルジーニョ,https://data.j-league.or.jp/SFMS02/?match_card_id=24579
24580,20201129,16:03,栃木県グリーンスタジアム,"2,296  人",晴,8.1,62,栃木ＳＣ,田坂　和昭,レノファ山口ＦＣ,霜田　正浩,GK,塩田　仁史,DF,黒﨑　隼人,DF,柳　育崇,DF,田代　雅也,MF,森　俊貴,MF,佐藤　祥,MF,西谷　優希,MF,溝渕　雄志,FW,大島　康樹,FW,エスクデロ　競飛王,FW,明本　考浩,GK,吉満　大介,DF,眞鍋　旭輝,DF,サンドロ,DF,ヘナン,MF,川井　歩,MF,高　宇洋,MF,田中　陸,MF,清永　丈瑠,FW,森　晃太,FW,イウリ,FW,高井　和馬,https://data.j-league.or.jp/SFMS02/?match_card_id=24580
24581,20201129,14:03,フクダ電子アリーナ,"5,433  人",曇,13.4,53,ジェフユナイテッド千葉,尹　晶煥,ジュビロ磐田,鈴木　政一,GK,新井　章太,DF,ゲリア,DF,新井　一耀,DF,鳥海　晃司,DF,安田　理大,MF,田口　泰士,MF,小島　秀仁,MF,矢田　旭,MF,見木　友哉,FW,山下　敬大,FW,川又　堅碁,GK,八田　直樹,DF,大井　健太郎,DF,小川　大貴,DF,山本　義道,MF,大森　晃太郎,MF,山田　大記,MF,松本　昌也,MF,伊藤　洋輝,MF,山本　康裕,MF,遠藤　保仁,FW,中野　誠也,https://data.j-league.or.jp/SFMS02/?match_card_id=24581
24582,20201129,16:03,町田ＧＩＯＮスタジアム,"1,116  人",曇,11.0,48,ＦＣ町田ゼルビア,ランコ　ポポヴィッチ,ザスパクサツ群馬,奥野　僚右,GK,福井　光輝,DF,小田　逸稀,DF,深津　康太,DF,水本　裕貴,DF,奥山　政幸,MF,髙江　麗央,MF,佐野　海舟,MF,土居　柊太,MF,平戸　太貴,MF,岡田　優希,FW,中島　裕希,GK,松原　修平,DF,飯野　七聖,DF,岡村　大八,DF,川上　優樹,DF,舩津　徹也,MF,岩上　祐三,MF,宮阪　政樹,MF,内田　達也,MF,加藤　潤也,FW,林　陵平,FW,大前　元紀,https://data.j-league.or.jp/SFMS02/?match_card_id=24582
24583,20201129,16:03,山梨中銀スタジアム,"4,127  人",晴,13.4,40,ヴァンフォーレ甲府,伊藤　彰,モンテディオ山形,石丸　清隆,GK,岡西　宏祐,DF,小柳　達司,DF,今津　佑太,DF,中塩　大貴,DF,内田　健太,MF,荒木　翔,MF,中村　亮太朗,MF,武田　将平,FW,松田　力,FW,中山　陸,FW,ハーフナー　マイク,GK,藤嶋　栄介,DF,山田　拓巳,DF,熊本　雄太,DF,野田　裕喜,MF,加藤　大樹,MF,岡﨑　建哉,MF,小松　駿太,MF,松本　怜大,FW,渡邊　凌磨,FW,ヴィニシウス　アラウージョ,FW,南　秀仁,https://data.j-league.or.jp/SFMS02/?match_card_id=24583
24584,20201129,14:04,サンプロ　アルウィン,"6,126  人",晴,8.7,45,松本山雅ＦＣ,柴田　峡,京都サンガF.C.,實好　礼忠,GK,村山　智彦,DF,大野　佑哉,DF,橋内　優也,DF,常田　克人,DF,高橋　諒,MF,杉本　太郎,MF,前　貴之,MF,佐藤　和弘,MF,鈴木　雄斗,FW,阪野　豊史,FW,セルジーニョ,GK,清水　圭介,DF,黒木　恭平,DF,本多　勇喜,DF,ヨルディ　バイス,MF,庄司　悦大,MF,仙頭　啓矢,MF,川﨑　颯太,MF,福岡　慎平,MF,黒木　聖仁,MF,金久保　順,FW,宮吉　拓実,https://data.j-league.or.jp/SFMS02/?match_card_id=24584
24585,20201129,14:03,石川県西部緑地公園陸上競技場,"2,106  人",晴,13.8,45,ツエーゲン金沢,柳下　正明,徳島ヴォルティス,リカルド　ロドリゲス,GK,白井　裕人,DF,高安　孝幸,DF,石尾　崚雅,DF,廣井　友信,DF,渡邊　泰基,MF,島津　頼盛,MF,大橋　尚志,MF,藤村　慶太,MF,ホドルフォ,FW,山根　永遠,FW,加藤　陸次樹,GK,上福元　直人,DF,福岡　将太,DF,内田　航平,DF,田向　泰輝,MF,岩尾　憲,MF,小西　雄大,MF,藤田　征也,MF,西谷　和希,MF,渡井　理己,MF,浜下　瑛,FW,垣田　裕暉,https://data.j-league.or.jp/SFMS02/?match_card_id=24585
24586,20201129,14:03,ニンジニアスタジアム,"1,611  人",晴,17.4,38,愛媛ＦＣ,川井　健太,水戸ホーリーホック,秋葉　忠宏,GK,岡本　昌弘,DF,茂木　力也,DF,山﨑　浩介,DF,西岡　大輝,DF,前野　貴徳,MF,川村　拓夢,MF,忽那　喬司,MF,森谷　賢太郎,MF,山瀬　功治,MF,長沼　洋一,FW,丹羽　詩温,GK,牲川　歩見,DF,細川　淳矢,DF,鈴木　喜丈,DF,瀧澤　修平,MF,河野　諒祐,MF,木村　祐志,MF,安東　輝,MF,前嶋　洋太,FW,森　勇人,FW,深堀　隼平,FW,山口　一真,https://data.j-league.or.jp/SFMS02/?match_card_id=24586
24587,20201129,14:03,ベスト電器スタジアム,"5,178  人",曇時々晴,12.9,46,アビスパ福岡,長谷部　茂利,大宮アルディージャ,高木　琢也,GK,セランテス,DF,エミル　サロモンソン,DF,輪湖　直樹,DF,ドウグラス　グローリ,DF,上島　拓巳,MF,前　寛之,MF,増山　朝陽,MF,石津　大介,MF,松本　泰志,FW,フアンマ　デルガド,FW,遠野　大弥,GK,笠原　昂史,DF,山田　将之,DF,畑尾　大翔,DF,西村　慧祐,DF,山越　康平,MF,小島　幹敏,MF,小野　雅史,MF,嶋田　慎太郎,MF,菊地　俊介,MF,黒川　淳史,MF,翁長　聖,https://data.j-league.or.jp/SFMS02/?match_card_id=24587
24588,20201128,15:03,ミクニワールドスタジアム北九州,"3,525  人",曇,12.3,37,ギラヴァンツ北九州,小林　伸二,ファジアーノ岡山,有馬　賢二,GK,永井　堅梧,DF,村松　航太,DF,藤原　奏哉,DF,生駒　仁,DF,永田　拓也,MF,髙橋　大悟,MF,新垣　貴之,MF,加藤　弘堅,MF,針谷　岳晃,MF,椿　直起,FW,鈴木　国友,GK,ポープ　ウィリアム,DF,椋原　健太,DF,濱田　水輝,DF,阿部　海大,DF,徳元　悠平,MF,齊藤　和樹,MF,上田　康太,MF,パウリーニョ,MF,上門　知樹,FW,イ　ヨンジェ,FW,清水　慎太郎,https://data.j-league.or.jp/SFMS02/?match_card_id=24588
24589,20201128,14:03,トランスコスモススタジアム長崎,"5,722  人",曇のち晴,14.5,54,Ｖ・ファーレン長崎,手倉森　誠,アルビレックス新潟,アルベルト,GK,徳重　健太,DF,毎熊　晟矢,DF,フレイレ,DF,二見　宏志,DF,江川　湧清,MF,大竹　洋平,MF,カイオ　セザール,MF,秋野　央樹,MF,氣田　亮真,FW,富樫　敬真,FW,エジガル　ジュニオ,GK,小島　亨介,DF,田上　大地,DF,マウロ,DF,舞行龍ジェームズ,DF,早川　史哉,MF,高木　善朗,MF,堀米　悠斗,MF,大本　祐槻,MF,本間　至恩,MF,荻原　拓也,FW,鄭　大世,https://data.j-league.or.jp/SFMS02/?match_card_id=24589
24590,20201129,13:03,タピック県総ひやごんスタジアム,"1,560  人",晴,22.5,41,ＦＣ琉球,樋口　靖洋,東京ヴェルディ,永井　秀樹,GK,田口　潤人,DF,田中　恵太,DF,鈴木　大誠,DF,李　栄直,DF,沼田　圭悟,MF,風間　宏矢,MF,上里　一将,MF,市丸　瑞希,MF,河合　秀人,MF,小泉　佳穂,FW,池田　廉,GK,マテウス,DF,近藤　直也,DF,平　智広,DF,福村　貴幸,MF,奈良輪　雄太,MF,藤田　譲瑠チマ,MF,山本　理仁,MF,森田　晃樹,MF,山下　諒也,MF,井上　潮音,FW,端戸　仁,https://data.j-league.or.jp/SFMS02/?match_card_id=24590
24591,20201202,19:03,ＮＤソフトスタジアム山形,"2,311  人",晴,6.0,50,モンテディオ山形,石丸　清隆,ＦＣ町田ゼルビア,ランコ　ポポヴィッチ,GK,藤嶋　栄介,DF,山田　拓巳,DF,熊本　雄太,DF,半田　陸,MF,渡邊　凌磨,MF,小松　駿太,MF,本田　拓也,MF,松本　怜大,FW,中村　充孝,FW,大槻　周平,FW,前川　大河,GK,福井　光輝,DF,小田　逸稀,DF,深津　康太,DF,水本　裕貴,DF,奥山　政幸,MF,髙江　麗央,MF,佐野　海舟,MF,吉尾　海夏,MF,平戸　太貴,MF,ジョン　チュングン,FW,安藤　瑞季,https://data.j-league.or.jp/SFMS02/?match_card_id=24591
24592,20201202,19:03,ケーズデンキスタジアム水戸,"1,559  人",雨,7.7,89,水戸ホーリーホック,秋葉　忠宏,ジュビロ磐田,鈴木　政一,GK,松井　謙弥,DF,前嶋　洋太,DF,住吉　ジェラニレショーン,DF,ンドカ　ボニフェイス,DF,乾　貴哉,MF,山田　康太,MF,木村　祐志,MF,平塚　悠知,MF,外山　凌,FW,奥田　晃也,FW,アレフ　ピットブル,GK,八田　直樹,DF,小川　大貴,DF,山本　義道,DF,鈴木　海音,MF,大森　晃太郎,MF,山田　大記,MF,松本　昌也,MF,伊藤　洋輝,MF,山本　康裕,MF,藤川　虎太朗,FW,中野　誠也,https://data.j-league.or.jp/SFMS02/?match_card_id=24592
24593,20201202,19:03,正田醤油スタジアム群馬,"1,234  人",晴,8.6,62,ザスパクサツ群馬,奥野　僚右,松本山雅ＦＣ,柴田　峡,GK,松原　修平,DF,平尾　壮,DF,岡村　大八,DF,渡辺　広大,DF,舩津　徹也,MF,田中　稔也,MF,岩上　祐三,MF,内田　達也,MF,加藤　潤也,FW,青木　翔大,FW,大前　元紀,GK,村山　智彦,DF,浦田　延尚,DF,大野　佑哉,DF,橋内　優也,DF,常田　克人,MF,前　貴之,MF,塚川　孝輝,MF,米原　秀亮,MF,中美　慶哉,FW,ジャエル,FW,セルジーニョ,https://data.j-league.or.jp/SFMS02/?match_card_id=24593
24594,20201202,19:03,ＮＡＣＫ５スタジアム大宮,"1,914  人",雨,7.2,90,大宮アルディージャ,高木　琢也,愛媛ＦＣ,川井　健太,GK,笠原　昂史,DF,山田　将之,DF,山越　康平,DF,西村　慧祐,DF,高山　和真,MF,小島　幹敏,MF,小野　雅史,MF,嶋田　慎太郎,MF,菊地　俊介,MF,黒川　淳史,MF,翁長　聖,GK,岡本　昌弘,DF,茂木　力也,DF,西岡　大志,DF,山﨑　浩介,DF,前野　貴徳,MF,吉田　眞紀人,MF,森谷　賢太郎,MF,田中　裕人,MF,三原　秀真,MF,横谷　繁,FW,有田　光希,https://data.j-league.or.jp/SFMS02/?match_card_id=24594
24595,20201202,19:03,味の素スタジアム,"1,974  人",雨のち曇,7.8,82,東京ヴェルディ,永井　秀樹,ジェフユナイテッド千葉,尹　晶煥,GK,マテウス,DF,若狭　大志,DF,高橋　祥平,DF,平　智広,DF,奈良輪　雄太,MF,山本　理仁,MF,佐藤　優平,MF,井出　遥也,MF,井上　潮音,FW,小池　純輝,FW,山下　諒也,GK,新井　章太,DF,増嶋　竜也,DF,新井　一耀,DF,鳥海　晃司,DF,下平　匠,MF,熊谷　アンドリュー,MF,田口　泰士,MF,堀米　勇輝,FW,アラン　ピニェイロ,FW,船山　貴之,FW,クレーベ,https://data.j-league.or.jp/SFMS02/?match_card_id=24595
24596,20201202,19:03,デンカビッグスワンスタジアム,"4,109  人",晴,8.2,43,アルビレックス新潟,アルベルト,栃木ＳＣ,田坂　和昭,GK,藤田　和輝,DF,田上　大地,DF,マウロ,DF,舞行龍ジェームズ,DF,早川　史哉,MF,堀米　悠斗,MF,島田　譲,MF,中島　元彦,MF,高木　善朗,MF,本間　至恩,FW,矢村　健,GK,塩田　仁史,DF,黒﨑　隼人,DF,髙杉　亮太,DF,田代　雅也,MF,森　俊貴,MF,佐藤　祥,MF,西谷　優希,MF,溝渕　雄志,FW,山本　廉,FW,明本　考浩,FW,エスクデロ　競飛王,https://data.j-league.or.jp/SFMS02/?match_card_id=24596
24597,20201202,19:03,サンガスタジアム　ｂｙ　ＫＹＯＣＥＲＡ,"2,119  人",晴,8.5,80,京都サンガF.C.,實好　礼忠,Ｖ・ファーレン長崎,手倉森　誠,GK,清水　圭介,DF,本多　勇喜,DF,ヨルディ　バイス,DF,冨田　康平,MF,庄司　悦大,MF,曽根田　穣,MF,仙頭　啓矢,MF,福岡　慎平,MF,上月　壮一郎,MF,黒木　聖仁,FW,ピーター　ウタカ,GK,徳重　健太,DF,毎熊　晟矢,DF,フレイレ,DF,二見　宏志,DF,江川　湧清,MF,大竹　洋平,MF,カイオ　セザール,MF,秋野　央樹,MF,氣田　亮真,FW,富樫　敬真,FW,玉田　圭司,https://data.j-league.or.jp/SFMS02/?match_card_id=24597
24598,20201202,19:33,Ｐｉｋａｒａスタジアム,"1,181  人",曇,10.0,73,ファジアーノ岡山,有馬　賢二,アビスパ福岡,長谷部　茂利,GK,ポープ　ウィリアム,DF,下口　稚葉,DF,濱田　水輝,DF,田中　裕介,DF,徳元　悠平,MF,齊藤　和樹,MF,パウリーニョ,MF,上田　康太,MF,上門　知樹,FW,イ　ヨンジェ,FW,赤嶺　真吾,GK,セランテス,DF,湯澤　聖人,DF,エミル　サロモンソン,DF,カルロス　グティエレス,DF,上島　拓巳,MF,前　寛之,MF,重廣　卓也,MF,福満　隆貴,MF,田邉　草民,FW,フアンマ　デルガド,FW,山岸　祐也,https://data.j-league.or.jp/SFMS02/?match_card_id=24598
24599,20201202,19:03,維新みらいふスタジアム,"1,020  人",晴,7.9,84,レノファ山口ＦＣ,霜田　正浩,ヴァンフォーレ甲府,伊藤　彰,GK,吉満　大介,DF,川井　歩,DF,眞鍋　旭輝,DF,ヘナン,MF,森　晃太,MF,高　宇洋,MF,池上　丈二,MF,清永　丈瑠,MF,高井　和馬,FW,河野　孝汰,FW,イウリ,GK,岡西　宏祐,DF,橋爪　勇樹,DF,小柳　達司,DF,中塩　大貴,DF,荒木　翔,MF,山本　英臣,MF,山田　陸,MF,武田　将平,FW,松田　力,FW,宮崎　純真,FW,ラファエル,https://data.j-league.or.jp/SFMS02/?match_card_id=24599
