ポジション1,選手1,チーム1,監督1,ポジション2,選手2,チーム2,監督2,日付,試合情報
GK,佐藤　健,ＳＣ相模原,木村　哲昌,GK,佐藤　健,ＦＣ町田ゼルビア,相馬　直樹,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
DF,寺田　洋介,ＳＣ相模原,木村　哲昌,DF,寺田　洋介,ＦＣ町田ゼルビア,相馬　直樹,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
DF,ウェズレイ,ＳＣ相模原,木村　哲昌,DF,ウェズレイ,ＦＣ町田ゼルビア,相馬　直樹,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
DF,フェアー　モービー,ＳＣ相模原,木村　哲昌,DF,フェアー　モービー,ＦＣ町田ゼルビア,相馬　直樹,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
DF,桝田　雄太郎,ＳＣ相模原,木村　哲昌,DF,桝田　雄太郎,ＦＣ町田ゼルビア,相馬　直樹,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
MF,三幸　秀稔,ＳＣ相模原,木村　哲昌,MF,三幸　秀稔,ＦＣ町田ゼルビア,相馬　直樹,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
FW,熊林　親吾,ブラウブリッツ秋田,与那城　ジョージ,FW,熊林　親吾,ツエーゲン金沢,森下　仁之,2014/09/20,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第１日"
FW,レオナルド,ブラウブリッツ秋田,与那城　ジョージ,FW,レオナルド,ツエーゲン金沢,森下　仁之,2014/09/20,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第１日"
GK,小針　清允,ガイナーレ鳥取,松波　正信,GK,小針　清允,藤枝ＭＹＦＣ,水島　武蔵,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
DF,森　英次郎,ガイナーレ鳥取,松波　正信,DF,森　英次郎,藤枝ＭＹＦＣ,水島　武蔵,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
DF,戸川　健太,ガイナーレ鳥取,松波　正信,DF,戸川　健太,藤枝ＭＹＦＣ,水島　武蔵,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
DF,柳川　雅樹,ガイナーレ鳥取,松波　正信,DF,柳川　雅樹,藤枝ＭＹＦＣ,水島　武蔵,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
MF,廣田　隆治,ガイナーレ鳥取,松波　正信,MF,廣田　隆治,藤枝ＭＹＦＣ,水島　武蔵,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
MF,柿木　亮介,ガイナーレ鳥取,松波　正信,MF,柿木　亮介,藤枝ＭＹＦＣ,水島　武蔵,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
MF,安田　晃大,ガイナーレ鳥取,松波　正信,MF,安田　晃大,藤枝ＭＹＦＣ,水島　武蔵,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
MF,フェルナンジーニョ,ガイナーレ鳥取,松波　正信,MF,フェルナンジーニョ,藤枝ＭＹＦＣ,水島　武蔵,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
MF,小野寺　達也,栃木ＳＣ,松本　育夫,MF,小野寺　達也,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,近藤　祐介,栃木ＳＣ,松本　育夫,MF,近藤　祐介,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
FW,クリスティアーノ,栃木ＳＣ,松本　育夫,FW,クリスティアーノ,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
FW,サビア,栃木ＳＣ,松本　育夫,FW,サビア,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
GK,小針　清允,ガイナーレ鳥取,前田　浩二,GK,小針　清允,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,柳楽　智和,ガイナーレ鳥取,前田　浩二,DF,柳楽　智和,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,横竹　翔,ガイナーレ鳥取,前田　浩二,DF,横竹　翔,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,柳川　雅樹,ガイナーレ鳥取,前田　浩二,DF,柳川　雅樹,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,森　英次郎,ガイナーレ鳥取,前田　浩二,DF,森　英次郎,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,奥山　泰裕,ガイナーレ鳥取,前田　浩二,MF,奥山　泰裕,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
FW,レナト,川崎フロンターレ,風間　八宏,FW,レナト,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
FW,大久保　嘉人,川崎フロンターレ,風間　八宏,FW,大久保　嘉人,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
GK,本間　幸司,水戸ホーリーホック,柱谷　哲二,GK,本間　幸司,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,細川　淳矢,水戸ホーリーホック,柱谷　哲二,DF,細川　淳矢,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,新里　亮,水戸ホーリーホック,柱谷　哲二,DF,新里　亮,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,冨田　大介,水戸ホーリーホック,柱谷　哲二,DF,冨田　大介,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,輪湖　直樹,水戸ホーリーホック,柱谷　哲二,DF,輪湖　直樹,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,西岡　謙太,水戸ホーリーホック,柱谷　哲二,MF,西岡　謙太,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,内田　航平,水戸ホーリーホック,柱谷　哲二,MF,内田　航平,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,船谷　圭祐,水戸ホーリーホック,柱谷　哲二,MF,船谷　圭祐,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,橋本　晃司,水戸ホーリーホック,柱谷　哲二,MF,橋本　晃司,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
FW,山村　佑樹,水戸ホーリーホック,柱谷　哲二,FW,山村　佑樹,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
FW,鈴木　隆行,水戸ホーリーホック,柱谷　哲二,FW,鈴木　隆行,徳島ヴォルティス,小林　伸二,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
GK,鈴木　智幸,栃木ＳＣ,松本　育夫,GK,鈴木　智幸,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,赤井　秀行,栃木ＳＣ,松本　育夫,DF,赤井　秀行,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,チャ　ヨンファン,栃木ＳＣ,松本　育夫,DF,チャ　ヨンファン,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,西岡　大輝,栃木ＳＣ,松本　育夫,DF,西岡　大輝,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
DF,三都主　アレサンドロ,栃木ＳＣ,松本　育夫,DF,三都主　アレサンドロ,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,廣瀬　浩二,栃木ＳＣ,松本　育夫,MF,廣瀬　浩二,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,パウリーニョ,栃木ＳＣ,松本　育夫,MF,パウリーニョ,ガンバ大阪,長谷川　健太,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,実信　憲明,ガイナーレ鳥取,前田　浩二,MF,実信　憲明,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,武田　英二郎,ガイナーレ鳥取,前田　浩二,MF,武田　英二郎,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
MF,永里　源気,ガイナーレ鳥取,前田　浩二,MF,永里　源気,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
FW,廣田　隆治,ガイナーレ鳥取,前田　浩二,FW,廣田　隆治,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
FW,鶴見　聡貴,ガイナーレ鳥取,前田　浩二,FW,鶴見　聡貴,京都サンガF.C.,大木　武,2013/10/06,"２０１３Ｊリーグ　ディビジョン２
								 第３６節第１日"
GK,荻　晃太,ヴァンフォーレ甲府,城福　浩,GK,荻　晃太,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
DF,青山　直晃,ヴァンフォーレ甲府,城福　浩,DF,青山　直晃,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
DF,山本　英臣,ヴァンフォーレ甲府,城福　浩,DF,山本　英臣,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
DF,佐々木　翔,ヴァンフォーレ甲府,城福　浩,DF,佐々木　翔,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
MF,柏　好文,ヴァンフォーレ甲府,城福　浩,MF,柏　好文,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
MF,保坂　一成,ヴァンフォーレ甲府,城福　浩,MF,保坂　一成,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
MF,マルキーニョス　パラナ,ヴァンフォーレ甲府,城福　浩,MF,マルキーニョス　パラナ,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
MF,福田　健介,ヴァンフォーレ甲府,城福　浩,MF,福田　健介,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
FW,河本　明人,ヴァンフォーレ甲府,城福　浩,FW,河本　明人,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
FW,ジウシーニョ,ヴァンフォーレ甲府,城福　浩,FW,ジウシーニョ,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
FW,パトリック,ヴァンフォーレ甲府,城福　浩,FW,パトリック,横浜Ｆ・マリノス,樋口　靖洋,2013/10/05,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第１日"
GK,杉山　力裕,川崎フロンターレ,風間　八宏,GK,杉山　力裕,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
DF,田中　裕介,川崎フロンターレ,風間　八宏,DF,田中　裕介,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
DF,ジェシ,川崎フロンターレ,風間　八宏,DF,ジェシ,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
DF,井川　祐輔,川崎フロンターレ,風間　八宏,DF,井川　祐輔,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
DF,登里　享平,川崎フロンターレ,風間　八宏,DF,登里　享平,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
MF,稲本　潤一,川崎フロンターレ,風間　八宏,MF,稲本　潤一,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
MF,山本　真希,川崎フロンターレ,風間　八宏,MF,山本　真希,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
MF,中村　憲剛,川崎フロンターレ,風間　八宏,MF,中村　憲剛,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
FW,森谷　賢太郎,川崎フロンターレ,風間　八宏,FW,森谷　賢太郎,柏レイソル,ネルシーニョ,2013/10/06,"２０１３Ｊリーグ　ディビジョン１
								 第２８節第２日"
FW,小川　慶治朗,ヴィッセル神戸,西野　朗,FW,小川　慶治朗,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
GK,キム　ジンヒョン,セレッソ大阪,セルジオ　ソアレス,GK,キム　ジンヒョン,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,茂庭　照幸,セレッソ大阪,セルジオ　ソアレス,DF,茂庭　照幸,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,藤本　康太,セレッソ大阪,セルジオ　ソアレス,DF,藤本　康太,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,丸橋　祐介,セレッソ大阪,セルジオ　ソアレス,DF,丸橋　祐介,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,高橋　大輔,セレッソ大阪,セルジオ　ソアレス,DF,高橋　大輔,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,扇原　貴宏,セレッソ大阪,セルジオ　ソアレス,MF,扇原　貴宏,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,山口　螢,セレッソ大阪,セルジオ　ソアレス,MF,山口　螢,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,シンプリシオ,セレッソ大阪,セルジオ　ソアレス,MF,シンプリシオ,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,枝村　匠馬,セレッソ大阪,セルジオ　ソアレス,MF,枝村　匠馬,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,保坂　一成,ヴァンフォーレ甲府,城福　浩,MF,保坂　一成,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
MF,井澤　惇,ヴァンフォーレ甲府,城福　浩,MF,井澤　惇,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
FW,永里　源気,ヴァンフォーレ甲府,城福　浩,FW,永里　源気,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
FW,ダヴィ,ヴァンフォーレ甲府,城福　浩,FW,ダヴィ,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
GK,小針　清允,ガイナーレ鳥取,吉澤　英生,GK,小針　清允,徳島ヴォルティス,小林　伸二,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
DF,尾崎　瑛一郎,ガイナーレ鳥取,吉澤　英生,DF,尾崎　瑛一郎,徳島ヴォルティス,小林　伸二,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
DF,戸川　健太,ガイナーレ鳥取,吉澤　英生,DF,戸川　健太,徳島ヴォルティス,小林　伸二,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
DF,水本　勝成,ガイナーレ鳥取,吉澤　英生,DF,水本　勝成,徳島ヴォルティス,小林　伸二,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
DF,藤本　修司,ガイナーレ鳥取,吉澤　英生,DF,藤本　修司,徳島ヴォルティス,小林　伸二,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
MF,奥山　泰裕,ガイナーレ鳥取,吉澤　英生,MF,奥山　泰裕,徳島ヴォルティス,小林　伸二,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
FW,ケンペス,セレッソ大阪,セルジオ　ソアレス,FW,ケンペス,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
FW,柿谷　曜一朗,セレッソ大阪,セルジオ　ソアレス,FW,柿谷　曜一朗,横浜Ｆ・マリノス,樋口　靖洋,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
GK,西川　周作,サンフレッチェ広島,森保　一,GK,西川　周作,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,森脇　良太,サンフレッチェ広島,森保　一,DF,森脇　良太,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,千葉　和彦,サンフレッチェ広島,森保　一,DF,千葉　和彦,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,水本　裕貴,サンフレッチェ広島,森保　一,DF,水本　裕貴,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,ミキッチ,サンフレッチェ広島,森保　一,MF,ミキッチ,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,青山　敏弘,サンフレッチェ広島,森保　一,MF,青山　敏弘,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,森﨑　和幸,サンフレッチェ広島,森保　一,MF,森﨑　和幸,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,清水　航平,サンフレッチェ広島,森保　一,MF,清水　航平,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,石原　直樹,サンフレッチェ広島,森保　一,MF,石原　直樹,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,髙萩　洋次郎,サンフレッチェ広島,森保　一,MF,髙萩　洋次郎,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
FW,佐藤　寿人,サンフレッチェ広島,森保　一,FW,佐藤　寿人,ＦＣ東京,ランコ　ポポヴィッチ,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
GK,荻　晃太,ヴァンフォーレ甲府,城福　浩,GK,荻　晃太,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
DF,福田　健介,ヴァンフォーレ甲府,城福　浩,DF,福田　健介,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
DF,津田　琢磨,ヴァンフォーレ甲府,城福　浩,DF,津田　琢磨,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
DF,盛田　剛平,ヴァンフォーレ甲府,城福　浩,DF,盛田　剛平,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
DF,佐々木　翔,ヴァンフォーレ甲府,城福　浩,DF,佐々木　翔,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
MF,山本　英臣,ヴァンフォーレ甲府,城福　浩,MF,山本　英臣,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
MF,柏　好文,ヴァンフォーレ甲府,城福　浩,MF,柏　好文,横浜ＦＣ,山口　素弘,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
GK,徳重　健太,ヴィッセル神戸,西野　朗,GK,徳重　健太,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,奥井　諒,ヴィッセル神戸,西野　朗,DF,奥井　諒,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,北本　久仁衛,ヴィッセル神戸,西野　朗,DF,北本　久仁衛,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,伊野波　雅彦,ヴィッセル神戸,西野　朗,DF,伊野波　雅彦,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
DF,相馬　崇人,ヴィッセル神戸,西野　朗,DF,相馬　崇人,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,田中　英雄,ヴィッセル神戸,西野　朗,MF,田中　英雄,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,橋本　英郎,ヴィッセル神戸,西野　朗,MF,橋本　英郎,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,野沢　拓也,ヴィッセル神戸,西野　朗,MF,野沢　拓也,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,茂木　弘人,ヴィッセル神戸,西野　朗,MF,茂木　弘人,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
FW,田代　有三,ヴィッセル神戸,西野　朗,FW,田代　有三,サガン鳥栖,尹　晶煥,2012/08/25,"２０１２Ｊリーグ　ディビジョン１
								 第２３節第１日"
MF,三浦　旭人,ガイナーレ鳥取,吉澤　英生,MF,三浦　旭人,徳島ヴォルティス,小林　伸二,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
MF,美尾　敦,ガイナーレ鳥取,吉澤　英生,MF,美尾　敦,徳島ヴォルティス,小林　伸二,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
MF,森　英次郎,ガイナーレ鳥取,吉澤　英生,MF,森　英次郎,徳島ヴォルティス,小林　伸二,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
FW,鶴見　聡貴,ガイナーレ鳥取,吉澤　英生,FW,鶴見　聡貴,徳島ヴォルティス,小林　伸二,2012/08/26,"２０１２Ｊリーグ　ディビジョン２
								 第３１節第１日"
FW,中山　悟志,ＦＣ琉球,薩川　了洋,FW,中山　悟志,ＡＣ長野パルセイロ,美濃部　直彦,2014/09/21,"２０１４　明治安田生命　Ｊ３リーグ
								 第２６節第２日"
GK,櫛引　政敏,清水エスパルス,大榎　克己,GK,櫛引　政敏,ガンバ大阪,長谷川　健太,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
DF,ブエノ,清水エスパルス,大榎　克己,DF,ブエノ,ガンバ大阪,長谷川　健太,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
DF,平岡　康裕,清水エスパルス,大榎　克己,DF,平岡　康裕,ガンバ大阪,長谷川　健太,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
DF,三浦　弦太,清水エスパルス,大榎　克己,DF,三浦　弦太,ガンバ大阪,長谷川　健太,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
DF,吉田　豊,清水エスパルス,大榎　克己,DF,吉田　豊,ガンバ大阪,長谷川　健太,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
MF,石毛　秀樹,清水エスパルス,大榎　克己,MF,石毛　秀樹,ガンバ大阪,長谷川　健太,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
MF,本田　拓也,清水エスパルス,大榎　克己,MF,本田　拓也,ガンバ大阪,長谷川　健太,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
MF,六平　光成,清水エスパルス,大榎　克己,MF,六平　光成,ガンバ大阪,長谷川　健太,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
MF,水谷　拓磨,清水エスパルス,大榎　克己,MF,水谷　拓磨,ガンバ大阪,長谷川　健太,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
MF,小泉　慶,アルビレックス新潟,柳下　正明,MF,小泉　慶,浦和レッズ,ペトロヴィッチ,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
MF,山本　康裕,アルビレックス新潟,柳下　正明,MF,山本　康裕,浦和レッズ,ペトロヴィッチ,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
MF,田中　亜土夢,アルビレックス新潟,柳下　正明,MF,田中　亜土夢,浦和レッズ,ペトロヴィッチ,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
FW,指宿　洋史,アルビレックス新潟,柳下　正明,FW,指宿　洋史,浦和レッズ,ペトロヴィッチ,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
FW,大前　元紀,清水エスパルス,大榎　克己,FW,大前　元紀,ガンバ大阪,長谷川　健太,2014/09/23,"２０１４Ｊリーグ　ディビジョン１
								 第２５節第１日"
